genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.624192185860692,-3.583629424140726e-4,0.08732100251256118,0.9333449705550222,NA,CD62Lneg,0.32908386838584863,0.001431767077636731,0.10267889750532085,0.7215292693997755,NA,CD62Lpos,None
Mrpl15,480.67386331648925,9.107610844842058e-4,0.028524137550607082,0.9405669062045432,0.9990978374313046,CD62Lneg,481.1090063295334,0.036058543037354215,0.04781258020975497,0.13208437239216178,0.750119737593687,CD62Lpos,None
Lypla1,557.9326940244955,0.00995182428887981,0.03076125683096301,0.41951564596181784,0.9637597953208252,CD62Lneg,519.563958746191,-0.0014363308271476128,0.038660644144316435,0.9448805871861905,0.996860994478175,CD62Lpos,None
Tcea1,995.1899321680941,-0.00760661742840618,0.026179518412825925,0.5727557342324978,0.9769189559666008,CD62Lneg,851.6176421389549,-0.007768430465268521,0.03430507630821625,0.7045711862106938,0.983532513465019,CD62Lpos,None
Rgs20,0.11549070312483464,7.220822739413762e-4,0.09455562724836901,0.7571239609357334,NA,CD62Lneg,0.4477143926133598,-8.465876410934583e-4,0.1003390493303643,0.8694765169793741,NA,CD62Lpos,None
Atp6v1h,327.50946514484014,-3.556072404474257e-4,0.030705792834221743,0.9746853929435477,0.9992970560970319,CD62Lneg,300.3063758905858,0.006251794973354554,0.04320818658966133,0.7592538320915097,0.9844660553532294,CD62Lpos,None
Rb1cc1,538.4589822057873,-0.007883916275017494,0.029288029083897677,0.527694797460497,0.9745615476357663,CD62Lneg,462.8284504828547,0.023915255129338384,0.041956438448579644,0.28610732543611356,0.9027820929104173,CD62Lpos,None
4732440D04Rik,27.663198714618343,-0.005932343902168095,0.05385378833118015,0.5218831753203699,0.9745615476357663,CD62Lneg,25.250336485037387,0.0016618175018584778,0.061987771769064455,0.9060372522648811,0.9951438359222663,CD62Lpos,None
St18,0.2937275346473371,-5.397143463914228e-4,0.09214319626687995,0.8642402962277367,NA,CD62Lneg,0.1398676914849798,-4.572096250000988e-4,0.10350610550323354,0.8863417246238564,NA,CD62Lpos,None
Pcmtd1,334.86856275355944,0.0014552151530760143,0.03096092731506059,0.895950313467355,0.9950674783516364,CD62Lneg,291.14092573242624,-0.03311093169079153,0.04942797858927102,0.15526200274734397,0.7812859562182777,CD62Lpos,None
Gm26901,9.857021909002173,0.016207490128267336,0.0912303114678998,0.12540084130390874,0.8041479250853707,CD62Lneg,18.18849103650125,0.04022322885389836,0.12753682499444097,0.0533672262905356,0.5408227736174865,CD62Lpos,None
Gm30414,4.44466547630638,0.008321339039632858,0.08011661650567149,0.29470075305927085,NA,CD62Lneg,11.764502977985098,0.05192153230903683,0.15921233246093805,0.028864324107866206,0.41608996076461713,CD62Lpos,None
Sntg1,0.5900502978988806,0.002758235174043114,0.09116312575391804,0.5104287652132071,NA,CD62Lneg,0.43160454604141213,-0.002631108700768803,0.1016862643737398,0.6007487081031573,NA,CD62Lpos,None
Rrs1,140.82858996312976,0.013127163655544906,0.04280321730416906,0.250907660040104,0.9139011586142246,CD62Lneg,152.7447684826721,0.01552507444572077,0.0529232959454726,0.41237416044914826,0.9523618619715709,CD62Lpos,None
Adhfe1,0.7413954218046338,-0.0019013415113514338,0.08773670455078715,0.6728550171674479,NA,CD62Lneg,0.6885168801188211,0.0030363027873664006,0.10009274141654544,0.6063996425318516,NA,CD62Lpos,None
2610203C22Rik,0.024855080806365035,0,0.09432764917108886,1,NA,CD62Lneg,0.3581877236918817,-9.378172001155077e-4,0.10107879353598892,0.8452081102945083,NA,CD62Lpos,None
Mybl1,4.182886258618884,-9.255712123024248e-4,0.06804696867673299,0.8947300389084017,NA,CD62Lneg,8.364447664055964,0.00792608548050238,0.08207066470070837,0.49828299002488396,0.9644185990900066,CD62Lpos,None
Vcpip1,290.7174904344009,-0.005700974571149245,0.03159359880580684,0.6146310551585512,0.9807153389860431,CD62Lneg,266.3360013860276,-0.004435571574864751,0.04520615482560826,0.8225489992396217,0.9893449107154808,CD62Lpos,None
1700034P13Rik,7.041986592918036,-0.00867360669695169,0.0770712552260545,0.29775336277967135,0.9275378811060412,CD62Lneg,6.779044351022931,0.005174628181121531,0.0793134880932288,0.6490266194657752,0.9791369300485532,CD62Lpos,None
Sgk3,21.419071332543368,-0.002027839788905905,0.055769703153926826,0.8101293464123167,0.9908662893587795,CD62Lneg,65.12527860706707,-5.247381129781514e-4,0.055737089207585806,0.9734737791656191,0.9979945278823701,CD62Lpos,None
Mcmdc2,0.12875931817806904,0,0.09432764917108821,1,NA,CD62Lneg,1.1431017321367145,0.0020947012131464675,0.09617093178790397,0.764265886052473,NA,CD62Lpos,None
Snhg6,496.19521704282926,1.2654849120696514e-4,0.02886437686155446,0.9916208787497,0.9992970560970319,CD62Lneg,476.40021609140865,-0.01851469377078702,0.04088129344155236,0.3959229627423922,0.9512227956895861,CD62Lpos,None
Ppp1r42,0.1077274437727855,0,0.09432764917108365,1,NA,CD62Lneg,0.28741182600516235,-0.0022613786475887544,0.10394928054075485,0.5213789229016095,NA,CD62Lpos,None
Cops5,405.23333189816105,-0.013980448872554925,0.03357449179976231,0.26408020632531337,0.9192339966593347,CD62Lneg,392.31018191258346,0.023515567821351814,0.04554996744766512,0.28720557065474056,0.9041872838582238,CD62Lpos,None
Cspp1,162.53461112684457,1.2292550481716823e-4,0.03422748893388983,0.9902016807132137,0.9992970560970319,CD62Lneg,154.96775942849058,0.007477206141999938,0.04967315646880133,0.6863874157549272,0.9822762780616302,CD62Lpos,None
Arfgef1,348.828655445903,0.018975430390263146,0.03794309820226832,0.15064508965474524,0.8333659723722083,CD62Lneg,287.69979773471675,-0.025117213811994044,0.04788168042579204,0.25416059252549483,0.885564042046696,CD62Lpos,None
Cpa6,0.3481980657869169,-0.0014157985951242713,0.09264394665530601,0.6619752287263116,NA,CD62Lneg,0.05691887513562948,-3.5459151975092e-4,0.10392005314608223,0.9002367477204092,NA,CD62Lpos,None
Prex2,0.9008935980349155,0.004680161127030142,0.09484645779507667,0.312551632667473,NA,CD62Lneg,0.20798927347170795,0.0011363765553940436,0.103253409164868,0.7481796999939723,NA,CD62Lpos,None
A830018L16Rik,0.2406835218111067,8.660060880762127e-4,0.09373043050490615,0.7486860716551846,NA,CD62Lneg,0.19818985135498549,-0.001042018815454844,0.10407549409746251,0.7140423923777118,NA,CD62Lpos,None
Sulf1,0.32770511228195,6.895008766966899e-4,0.09092350081841313,0.8446377801534082,NA,CD62Lneg,0.2023710075459861,-0.001042018815454844,0.10407549409746251,0.7140423923777118,NA,CD62Lpos,None
Slco5a1,0.4729154548357374,0.0011132476893163969,0.08934136733983579,0.7794292225832089,NA,CD62Lneg,0.31304873358637264,0.004396116825966986,0.1047244943482488,0.33605930003872625,NA,CD62Lpos,None
Ncoa2,564.9688135134613,-0.0061484245144865154,0.02878944182745162,0.6215653273753328,0.9821260434099449,CD62Lneg,454.42656135564476,-0.04355033866150228,0.05100109847414802,0.08194769765049041,0.6409074663661305,CD62Lpos,None
Gm29570,0.3926218734532866,0.0021310611021432405,0.09146497665482196,0.5783448166247411,NA,CD62Lneg,0.3433373196805161,-9.31515129456087e-4,0.10168073431562827,0.8353586063703329,NA,CD62Lpos,None
Tram1,1053.0095343280188,-0.015521996157985541,0.028616135982199302,0.26202616323961175,0.9177524721566447,CD62Lneg,878.6301838481081,-0.03945970446165121,0.04041537126093237,0.10147075326112016,0.6959327255378327,CD62Lpos,None
Lactb2,129.03682135433235,0.0011845784834138902,0.0370278113157434,0.9011651881870635,0.9950674783516364,CD62Lneg,117.03237234899467,0.00541624405693569,0.05114305137029017,0.7601853174574176,0.9844660553532294,CD62Lpos,None
Gm9947,0.2347150471255154,0,0.09269796184700355,1,NA,CD62Lneg,0.10118550377299305,-3.5459151975092e-4,0.10392005314608223,0.9002367477204092,NA,CD62Lpos,None
Msc,0.6629344831537566,-6.549751979168996e-4,0.09449652609711533,0.7797651527761074,NA,CD62Lneg,0.19818985135498549,-0.001042018815454844,0.10407549409746251,0.7140423923777118,NA,CD62Lpos,None
Terf1,271.9137254335166,-0.013259936287672153,0.03702747336946728,0.2639988207661457,0.9192339966593347,CD62Lneg,238.77576740800214,-0.02063207540000136,0.047115570514278095,0.334090636858327,0.9238715633279443,CD62Lpos,None
Sbspon,0.4512473918802034,6.821055828730179e-4,0.0891881621494553,0.8622415250344693,NA,CD62Lneg,1.271048252505595,0.0035029434187567447,0.09814111392406193,0.6054049473429736,NA,CD62Lpos,None
4930444P10Rik,0,0,0.09690363749758081,NA,NA,CD62Lneg,0.549839882502365,0.0018016059612170647,0.10207147554523899,0.688775717994081,NA,CD62Lpos,None
Rpl7,11581.606800651738,0.02103759636268549,0.02510952695841429,0.1574693170739503,0.8373410193735125,CD62Lneg,11544.781928438131,0.09441174274270837,0.041859778159871665,0.0012862476690060074,0.06208021823482691,CD62Lpos,CD62Lpos
