genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.36415544386656723,0.0011823306618502808,0.09199777529913596,0.722534591484097,NA,mLN,0.592991547698434,-4.921977554544769e-4,0.09710928014546169,0.9246202040601991,NA,spleen,None
Mrpl15,388.46546920278587,0.00737454418136354,0.029352518304200274,0.4613088061450648,0.9828819636431023,mLN,576.3691816332586,0.024923373587322915,0.04048237278053525,0.2740071490001034,0.8486818203574815,spleen,None
Lypla1,420.66504810755595,0.002531607808259888,0.027542777194224825,0.7881134290033032,0.9945095479237726,mLN,658.846940259895,0.011170155013326348,0.0383028219287342,0.6054695313889551,0.9640838660072782,spleen,None
Tcea1,716.095209726942,-0.0018411972798883065,0.023256814836688674,0.8433243894837739,0.9977543965545445,mLN,1137.2776102524256,-0.014811657939400312,0.033085181947085214,0.4843449945323586,0.9381171193117128,spleen,None
Rgs20,0.2651558493256436,-5.432040753880118e-4,0.09227983819083137,0.8632730755088216,NA,mLN,0.33488642440458555,0.0020057608728404055,0.09920820781799837,0.6288365162864631,NA,spleen,None
Atp6v1h,254.64627250925707,-0.01167464506484411,0.03793942981727621,0.28578030769158974,0.9619549547458784,mLN,374.96489767658795,0.022266851834556064,0.04412317588639287,0.3156738807491428,0.8722825569362244,spleen,None
Rb1cc1,387.0168875551385,0.005923809365243141,0.029111321020747087,0.5449827037981845,0.9853216493597882,mLN,617.4596219148624,-0.002046279828506838,0.0364779112549393,0.9234059027577397,0.9903545474658926,spleen,None
4732440D04Rik,20.271955723115816,0.004925717667243481,0.053432546862094914,0.5663924849690027,0.9863977200411976,mLN,32.52161562871114,-0.014341405656223357,0.06774740077088193,0.36678061321984584,0.8903880126560902,spleen,None
St18,0.3417996305147209,-9.131787705424968e-4,0.0920974419400778,0.7786534407575015,NA,mLN,0.11167792924942359,-1.8973068036582497e-4,0.10022275219314156,0.9425206689737454,NA,spleen,None
Pcmtd1,239.97323258364065,-0.012610002304443068,0.04192352458654853,0.2587765527524969,0.9540963208714449,mLN,388.4964442636891,-0.0021835696054401848,0.03963088443200376,0.9178956659272925,0.9901268541740015,spleen,None
Gm26901,10.88332739505977,0.02111656816139114,0.10329993251332946,0.06407888065617061,NA,mLN,17.221599981281617,0.03855298409232451,0.12404580946670514,0.05829979659867638,0.5010159357435267,spleen,None
