genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.624192185860692,-0.006501831234639604,0.12326208592154342,0.41764414676275624,NA,CD62Lneg,0.32908386838584863,-2.689297433692598e-4,0.09818426967131333,0.9420345299568423,NA,CD62Lpos,None
Mrpl15,480.67386331648925,-0.002535954468487163,0.02856465584427766,0.8499629572087084,0.994338476433938,CD62Lneg,481.1090063295334,0.0033505202269319555,0.023009092379553783,0.5954700543882407,0.998116962792638,CD62Lpos,None
Lypla1,557.9326940244955,0.032241223813960954,0.04722990875290989,0.1090218747887299,0.6494011926168607,CD62Lneg,519.563958746191,-0.004686089995280562,0.024155150696181148,0.47182539421587527,0.998116962792638,CD62Lpos,None
Tcea1,995.1899321680941,-0.0016057792535096017,0.022667042520891603,0.8865814434837186,0.997858429573018,CD62Lneg,851.6176421389549,-0.009290946563740334,0.028025585111539675,0.20502405572114485,0.9469118912754098,CD62Lpos,None
Rgs20,0.11549070312483464,-1.406950694910289e-5,0.12861935259035231,0.997415057751411,NA,CD62Lneg,0.4477143926133598,-0.005732388491580799,0.10472075872372236,0.2405084983472309,NA,CD62Lpos,None
Atp6v1h,327.50946514484014,0.0023453196139103186,0.03348074464387233,0.8718433166353348,0.9955498078106163,CD62Lneg,300.3063758905858,0.005011423800997586,0.02800301786075037,0.4978369020090333,0.998116962792638,CD62Lpos,None
Rb1cc1,538.4589822057873,4.9568729270373484e-5,0.028270074435826725,0.99702941084847,0.9994373067046489,CD62Lneg,462.8284504828547,8.424931264411246e-4,0.018954733175336528,0.8758830987594924,0.998116962792638,CD62Lpos,None
4732440D04Rik,27.663198714618343,-0.02201832899844963,0.08266012028780167,0.22746060050783615,0.8421524469125999,CD62Lneg,25.250336485037387,-0.0011978560844506428,0.047153510109918945,0.888612475279611,0.998116962792638,CD62Lpos,None
St18,0.2937275346473371,-0.0035697308411050555,0.12638754573495994,0.5381754799807306,NA,CD62Lneg,0.1398676914849798,2.3672147859411747e-4,0.10037860682928587,0.9377925529059584,NA,CD62Lpos,None
Pcmtd1,334.86856275355944,-0.010945799997846794,0.03752756282957514,0.48379084125597294,0.9513149621234062,CD62Lneg,291.14092573242624,-0.0155576229228339,0.04150791104405652,0.1443005509430861,0.8740566502000593,CD62Lpos,None
Gm26901,9.857021909002173,9.467208940198298e-4,0.07856759027694891,0.9446582861504518,0.9986207883911536,CD62Lneg,18.18849103650125,0.0031836290409279077,0.05614663468572537,0.7094072854842056,0.998116962792638,CD62Lpos,None
Gm30414,4.44466547630638,-0.004917759273430785,0.09074765614544902,0.697627658810863,0.9828666629318051,CD62Lneg,11.764502977985098,0.00517615200278664,0.06183903681470002,0.5513183210010983,0.998116962792638,CD62Lpos,None
Sntg1,0.5900502978988806,0.0025528146405603335,0.11827231045040178,0.736932713414704,NA,CD62Lneg,0.43160454604141213,-0.002932099392312773,0.09773435105245461,0.5266298282553159,NA,CD62Lpos,None
Rrs1,140.82858996312976,-0.008838737228483605,0.043405506454720515,0.5735208352705784,0.9639331863513607,CD62Lneg,152.7447684826721,-0.005310129676696025,0.0360430864256264,0.5329307433570064,0.998116962792638,CD62Lpos,None
Adhfe1,0.7413954218046338,0.004897061202025699,0.11554963485353015,0.5839244648492334,NA,CD62Lneg,0.6885168801188211,0.0024979217874427223,0.0936055798676538,0.6396731863217278,NA,CD62Lpos,None
2610203C22Rik,0.024855080806365035,-1.4063841325093825e-5,0.12861935254879492,0.9974160986697193,NA,CD62Lneg,0.3581877236918817,-8.508209452383501e-4,0.09584623701743954,0.8470856704784944,NA,CD62Lpos,None
Mybl1,4.182886258618884,-0.010056468230073263,0.09583581787712542,0.4538262555308128,0.9473093494943219,CD62Lneg,8.364447664055964,-0.005737197731688826,0.07118153746420884,0.4953633491915811,0.998116962792638,CD62Lpos,None
Vcpip1,290.7174904344009,0.015474408620487162,0.03943099956240365,0.34540749038776497,0.9196438686032612,CD62Lneg,266.3360013860276,0.0025549451339079744,0.02761511124267372,0.7264263229303247,0.998116962792638,CD62Lpos,None
1700034P13Rik,7.041986592918036,-0.007861459166673425,0.0855566232608604,0.571515673222037,0.9639331863513607,CD62Lneg,6.779044351022931,0.005038614680981852,0.06792238922594013,0.5483211834231103,0.998116962792638,CD62Lpos,None
Sgk3,21.419071332543368,-0.020946016188123924,0.09270582663003651,0.23087312440276905,0.8450155492540655,CD62Lneg,65.12527860706707,-0.018571870008704663,0.06712381406910951,0.13885072863857972,0.8660971395314286,CD62Lpos,None
Mcmdc2,0.12875931817806904,1.904492967335623e-4,0.12862054744500936,0.9650462981022735,NA,CD62Lneg,1.1431017321367145,6.23661464613061e-4,0.08760414231141662,0.9169411871008122,NA,CD62Lpos,None
Snhg6,496.19521704282926,0.02168976782333845,0.039764150228989145,0.2103081019074271,0.8226557890378037,CD62Lneg,476.40021609140865,0.019569130812755138,0.043327188843255836,0.09345899377693404,0.7719550978342171,CD62Lpos,None
Ppp1r42,0.1077274437727855,0.0011520976424250014,0.12904125184882045,0.7924083844830417,NA,CD62Lneg,0.28741182600516235,-0.0027680651550283254,0.10279961971069444,0.40741739930919757,NA,CD62Lpos,None
Cops5,405.23333189816105,4.601489980971903e-4,0.03131970234770779,0.9739735805863396,0.9986207883911536,CD62Lneg,392.31018191258346,0.009979948365761963,0.0338688944487667,0.25204246735399227,0.9833880053225257,CD62Lpos,None
Cspp1,162.53461112684457,-0.012209442702622282,0.04454135384867096,0.4510919752023831,0.9462889668018468,CD62Lneg,154.96775942849058,-0.0010014012204882213,0.031582676032779596,0.8982085800762579,0.9981431561899726,CD62Lpos,None
Arfgef1,348.828655445903,0.011279319527415439,0.03619520389142715,0.46627502193229964,0.9499960284438386,CD62Lneg,287.69979773471675,-3.7184936578938424e-4,0.02357261339274446,0.954597145231253,0.9986132657568725,CD62Lpos,None
Cpa6,0.3481980657869169,-0.0021466518024559726,0.12410330912529974,0.715331704271954,NA,CD62Lneg,0.05691887513562948,-7.41660815836367e-4,0.10187236266522008,0.7841174547502597,NA,CD62Lpos,None
Prex2,0.9008935980349155,-0.004202052065300144,0.1206282257549714,0.577828823227323,NA,CD62Lneg,0.20798927347170795,0.0015266824289340887,0.10027022681147234,0.6495563846556112,NA,CD62Lpos,None
A830018L16Rik,0.2406835218111067,-0.0021283279694044276,0.12760113867471173,0.6674522573888418,NA,CD62Lneg,0.19818985135498549,-0.001409231984670135,0.10271170226841254,0.606064184310082,NA,CD62Lpos,None
Sulf1,0.32770511228195,-1.723868882160525e-4,0.1214049889031852,0.97844938255948,NA,CD62Lneg,0.2023710075459861,-0.001409231984670135,0.10271170226841254,0.606064184310082,NA,CD62Lpos,None
Slco5a1,0.4729154548357374,-0.004608174358857357,0.12261307824715494,0.5238856377349355,NA,CD62Lneg,0.31304873358637264,5.549274733771688e-4,0.0971963381555679,0.8899530527594671,NA,CD62Lpos,None
Ncoa2,564.9688135134613,0.005043566942746408,0.02894838129108902,0.709443598695999,0.9831017143526721,CD62Lneg,454.42656135564476,0.002398884269569184,0.02186829389661903,0.6931932400210363,0.998116962792638,CD62Lpos,None
Gm29570,0.3926218734532866,0.006856470297413547,0.1269170400590916,0.35457499131334497,NA,CD62Lneg,0.3433373196805161,0.0028797211587698293,0.09891360371025247,0.5051042157506677,NA,CD62Lpos,None
Tram1,1053.0095343280188,0.030528091170585376,0.0400144231983993,0.10211265353014769,0.632026424545583,CD62Lneg,878.6301838481081,0.003172648091174943,0.017280028207989167,0.4922229793475421,0.998116962792638,CD62Lpos,None
Lactb2,129.03682135433235,0.019200353214116003,0.0554338205514424,0.2756418194958157,0.8746348048405651,CD62Lneg,117.03237234899467,0.008831633351131164,0.04199983444950162,0.3500214109516053,0.998116962792638,CD62Lpos,None
Gm9947,0.2347150471255154,0.003330683668807818,0.12706675023054662,0.5471071681562136,NA,CD62Lneg,0.10118550377299305,-7.41660815836367e-4,0.10187236266522008,0.7841174547502597,NA,CD62Lpos,None
