genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.36415544386656723,-0.0027399689783248987,0.15768549893618564,0.7816218141985452,NA,mLN,0.592991547698434,-0.002485983622743959,0.08631735756279017,0.5382602735387769,NA,spleen,None
Mrpl15,388.46546920278587,-0.00963121469483986,0.04249882752857141,0.70481360765256,0.9604698556614484,mLN,576.3691816332586,0.0019517308485812413,0.018513892210705367,0.7135410737453434,0.9982317211390933,spleen,None
Lypla1,420.66504810755595,0.012161781443375682,0.044053098043459873,0.6341708618132746,0.9491754550666137,mLN,658.846940259895,0.003181450021532947,0.020501618186505626,0.580669177716657,0.9952776778494805,spleen,None
Tcea1,716.095209726942,-0.024297204183380754,0.03811776505655835,0.34256989512823766,0.8406106141776357,mLN,1137.2776102524256,-5.591026507573431e-4,0.013691846963808459,0.8895008556513656,0.9982317211390933,spleen,None
Rgs20,0.2651558493256436,-0.0076087954502890645,0.1627361636772673,0.42200494035872027,NA,mLN,0.33488642440458555,-5.529873610256642e-4,0.08707815834955274,0.8632784479520187,NA,spleen,None
Atp6v1h,254.64627250925707,-0.011386038654846536,0.04884778906602353,0.6549659594385595,0.9559654633974969,mLN,374.96489767658795,0.00701916246407987,0.028319312127306987,0.34798019181253564,0.9522180159908288,spleen,None
Rb1cc1,387.0168875551385,0.006369393857171243,0.04338589916849221,0.8014998578560816,0.9774393837962134,mLN,617.4596219148624,0.0011517228158499054,0.017540972894500746,0.821307549094586,0.9982317211390933,spleen,None
4732440D04Rik,20.271955723115816,-0.0032155315018843732,0.08042137495251858,0.8859901018676322,0.9909164167211046,mLN,32.52161562871114,-0.011786580530521227,0.05848345478515314,0.2710109201517934,0.9172211062090933,spleen,None
St18,0.3417996305147209,-0.005075307866629607,0.15951632016018663,0.6027393053969561,NA,mLN,0.11167792924942359,-1.1316639234868236e-4,0.09212129251446477,0.9595362123727792,NA,spleen,None
Pcmtd1,239.97323258364065,-0.05060658328027875,0.07124447015317634,0.1067119735237798,0.5654078313357521,mLN,388.4964442636891,-0.0017169885190561772,0.020507028963414387,0.7683845310235647,0.9982317211390933,spleen,None
Gm26901,10.88332739505977,0.014601906356917632,0.10421577700645883,0.5130020616841108,0.9192052641415118,mLN,17.221599981281617,-0.0023239814411710365,0.055711076551879825,0.7835061753682311,0.9982317211390933,spleen,None
Gm30414,5.045483902905865,0.019977135882207647,0.13849703031321076,0.3392699870867888,0.8395735912743856,mLN,11.47257188221257,-0.006199599027627356,0.06461366589792561,0.4687761840001203,NA,spleen,None
Sntg1,0.30067529513056945,-0.002540100822699602,0.15820789130678606,0.790908883518635,NA,mLN,0.764773331092809,-7.585844962534004e-4,0.08325035149154496,0.861457642690723,NA,spleen,None
Rrs1,117.86960663153768,-0.01755086509036222,0.06297766158253702,0.4906580817926585,0.9117740979307118,mLN,175.8587287697589,-0.005986042183344023,0.034233866255484156,0.47648764630795915,0.9832616949473042,spleen,None
Adhfe1,0.7502125095360922,1.7292721182923107e-4,0.14554667141757419,0.990121495217273,NA,mLN,0.7053776537724387,0.003982092898713015,0.08788979095710368,0.3717477551651232,NA,spleen,None
2610203C22Rik,0.1831026990307039,-0.004759330684594729,0.16295468352710185,0.5310815222642146,NA,mLN,0.23872984696254698,0.0012680441490709009,0.08961721656148736,0.6512026122454928,NA,spleen,None
Mybl1,4.174779299314236,-0.009497818832262379,0.11727719309284275,0.6357168515124783,0.9496805378683534,mLN,8.58706628580255,-0.009113984703862661,0.07375509773485624,0.3030878055402579,NA,spleen,None
Vcpip1,210.4473449843743,0.02381268932297009,0.05598437200509678,0.3709855989523097,0.8573759758402344,mLN,347.7850922545623,0.0037604529087285686,0.024279720808994033,0.5704634648623133,0.9952776778494805,spleen,None
1700034P13Rik,5.49508333854804,0.02150433363127895,0.12883871417089868,0.3360873864192062,0.8388785271387037,mLN,8.141509188283532,-0.0056831797673995935,0.0644637224152611,0.4995383766454056,NA,spleen,None
Sgk3,33.38291480545019,-0.033519322341710005,0.10915028337903875,0.21799855818796482,0.7384267914915535,mLN,52.91690527954706,-0.04576902537384336,0.10808038900702309,0.030391245639721627,0.41387352418214185,spleen,None
Mcmdc2,0.5384658516349603,-0.0056406071880220265,0.15200463066437878,0.6623402040950911,NA,mLN,0.7856318548980799,0.003141619297739722,0.08623888376068276,0.47291350638881957,NA,spleen,None
Snhg6,412.7258773793194,0.05020212118233255,0.05640254314652183,0.09514852426262316,0.5378578988163017,mLN,559.7179937248277,0.004025052085806037,0.021057215524011904,0.49134711814388327,0.9862822474603682,spleen,None
