genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Psmb9,1590.335739379983,-0.46071408638287376,0.035559057291939075,1.0329490870538701e-39,1.3171133809023899e-35
Psme1,2551.6473519598485,-0.27060224508542735,0.021576322704595155,7.387025340962469e-37,4.709598006130622e-33
AW112010,6249.881704300605,-0.6323243287933498,0.054381692041877816,1.2822368964466437e-32,5.44993422219705e-29
Gbp10,68.91661166694347,-1.691114241810012,0.15002661542137866,1.4711891619927918e-30,3.676113560086547e-27
Gbp6,352.65742455826063,-1.1510230569949824,0.10356969216299484,1.7298001223840704e-30,3.676113560086547e-27
Ly6a,4943.84551601668,-0.5132030155912575,0.04572715653052158,1.6797960273585812e-30,3.676113560086547e-27
Irf8,128.65304988321498,-1.1351588582455903,0.10449252802666609,2.4438839633453683e-29,4.4517092023738275e-26
Stat1,1839.7149055880723,-0.8843841369737293,0.08413075249470159,4.418700491517763e-28,6.260316663038111e-25
Irf1,858.9970316161766,-0.6223834031139035,0.05810190104248998,3.9719348431138068e-28,6.260316663038111e-25
B2m,17414.604310615738,-0.2461771456629777,0.022946079051648877,1.0548975308111215e-27,1.237519919500425e-24
Psme2,2640.9286209152974,-0.30496394983170194,0.028476474884411282,1.067580512469977e-27,1.237519919500425e-24
Ifngr1,1351.475436183113,-0.7916094972282622,0.07564381542825772,1.2584322880310607e-27,1.3371891753903378e-24
Igtp,1101.3555905541934,-0.8754431147304135,0.08711938698787922,5.643360121270623e-26,5.535268069717055e-23
F830016B08Rik,72.51874860701345,-1.853921280899096,0.18456810024626583,6.265860814149065e-25,5.706856517229624e-22
Gm4951,115.34333870814967,-1.6886997353189381,0.1685806245861697,9.808885556496755e-25,8.338206648726009e-22
Serpina3g,945.1635224872254,-1.0317907791997836,0.1073353149774774,5.136078028898825e-24,4.093133184155557e-21
Tap1,841.4430973538979,-0.435847847618545,0.04460865689779231,6.865335956512155e-24,5.1494058106756754e-21
Gbp3,345.4676684363949,-0.6206183260314596,0.06437254381304565,2.3021261202834452e-23,1.6308005644296783e-20
Gbp5,181.94651619629727,-0.677371094002765,0.07164013695393237,9.196803495131057e-23,6.172023229811373e-20
Zbp1,658.2906777446574,-0.5258184518877587,0.05608259809748306,3.5260900726459917e-22,2.2480587258154517e-19
Tgtp2,300.5328559014697,-0.9269657017761377,0.10255577381570892,9.029148439301811e-22,5.482412940454162e-19
Irgm1,321.3544642301222,-0.6735388007224676,0.0739853683481669,2.5384000006040484e-21,1.4712335639864647e-18
Iigp1,493.23702940627544,-1.580289582782687,0.17525683422335497,1.3411172425120551e-20,7.435037373596181e-18
Gm4841,70.5074473123486,-1.3864866375680782,0.15537884418665077,2.100802797643019e-20,1.1161390196977556e-17
Gm12216,148.7793684431406,-0.5763013088340974,0.06508323338283786,4.073770076864347e-20,2.0777856900038916e-17
Tapbpl,295.64632049289503,-0.4901082977323252,0.055482504435484754,4.848391192399116e-20,2.3777629267031202e-17
Psmb10,896.7207842078728,-0.41419899199654125,0.04706088452472285,6.347674711920748e-20,2.9977481574704245e-17
Il12rb2,59.06264918599037,-1.6291213205289072,0.18454313729983957,7.438204785458549e-20,3.270501697220067e-17
Ifi47,1258.414496180292,-0.49755868145756527,0.05661272309344486,7.301737610282277e-20,3.270501697220067e-17
Sp140,205.86029221246187,-0.5190797116425806,0.05921064609476642,9.135370979755274e-20,3.8828371787619835e-17
Plaat3,822.8185462608128,-0.32323609388711666,0.03669870941886257,1.1742886426461996e-19,4.830114349155384e-17
Irgm2,215.4063371008204,-0.6896608088666081,0.08000924448628978,1.673810768680666e-19,6.669612847327241e-17
Gm19705,102.89777873506571,-0.7963997006394892,0.09433812063085308,3.1264735159330783e-19,1.2080504182322025e-16
Gbp2,486.2438193425033,-0.8756896065882172,0.10540830066893071,6.324439230652734e-19,2.371850724413324e-16
Gbp8,250.36712515817962,-0.4322642625767849,0.05076129124035166,7.554931882073552e-19,2.75236961223771e-16
Gbp4,545.0782972634441,-0.5550160391426014,0.06561196006598331,1.3199542449656845e-18,4.675204604877068e-16
