genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Pmepa1,168.52366674978265,-1.7502090333107594,0.13793874867765354,4.374882824723116e-38,5.7345964066470605e-34
Ncmap,78.85989494544856,-1.7938069157615326,0.1464040089108947,9.768305022992867e-36,6.402147112069524e-32
Ahr,58.491474677278354,-1.632693704169554,0.13684610487089763,5.103469197013525e-34,2.2298758078151092e-30
Cpd,37.46881851403204,-1.7986252840039865,0.1513475730496347,8.42737827043674e-34,2.7616518592221196e-30
Gm48236,23.618034737698277,-2.1815377086825607,0.18679759922896783,4.128969749106361e-33,1.0824507094257236e-29
Ldlrad4,297.8733692607377,-1.0749186816419771,0.0963972390289992,2.965175704116977e-31,6.477920521594222e-28
Cldnd1,487.53076279569,-0.8599909123117413,0.07704539304457061,5.293178659909286e-31,9.911855124870133e-28
AU020206,568.92537681908,-0.5575490943620223,0.050238782612374404,1.4713782933783642e-29,2.4108533337004497e-26
Capg,2058.179016556066,-0.5712993030509477,0.05157299716418605,1.7015882482796906e-29,2.4782687509389092e-26
Slc2a3,269.7702255269011,0.5306881757008574,0.04824903346090086,5.060773970697189e-29,6.633662520789876e-26
Rgs10,1064.1388765518886,-0.9129469957460927,0.08593511073563878,1.365058421965188e-28,1.6266532541017897e-25
Nt5e,303.55574782807616,-1.4564062354533733,0.13852451533083107,2.6419705250774997e-27,2.8859124702263218e-24
Smad7,160.60274859337403,-0.8980513772590092,0.0868372348087406,2.9672365594994817e-27,2.991887447839939e-24
Dnase1l3,50.56837159385123,1.8227417556836278,0.17319545256113397,3.6002167342242254e-27,3.370831496586511e-24
Itgae,649.7575356840845,-1.7292532354722094,0.1678982627510665,4.092322068144289e-26,3.5761438446156895e-23
Ctss,803.4051854457115,-0.5747994579467313,0.0576811936026482,2.1869773049706273e-24,1.7916811570971863e-21
Hif1a,979.8928085472814,0.3364054845650013,0.03467336623102687,9.562379704555436e-24,7.373157245136038e-21
Neurl3,204.50129411361777,-0.6809704435557342,0.07017527883509894,1.248986553564997e-23,8.737752986331269e-21
Gpr15,156.2578706023103,-1.3513581996241733,0.14053970593427323,1.2665342290226891e-23,8.737752986331269e-21
Tm6sf1,63.19118467546492,0.9583519021779365,0.10164473555861235,2.020565745196998e-23,1.2709136565562374e-20
Znrf1,202.64833240586927,-0.6813982728513369,0.07058611393024224,2.0360990835887236e-23,1.2709136565562374e-20
Csf1,302.5565910803616,1.083992986898766,0.11655682800899128,6.152062363261078e-23,3.6655106117102827e-20
Spsb1,12.031422874409737,-2.047776846006785,0.22238447282987117,1.0824782518068903e-21,6.169184749862921e-19
Abcb1a,327.1675381105411,0.4985531650640699,0.05357868265339717,1.81205394635821e-21,9.896834637026424e-19
Lrig1,98.29082564747458,-1.2216580284962986,0.1376595812140229,5.49816235633505e-21,2.8827964866735936e-18
Fam3c,412.2330646328663,-0.5206441614734554,0.05808956625787647,4.007292185207048e-20,2.020291767834384e-17
Igsf23,163.4677743677406,0.6383830295992429,0.07192179295951974,4.262308352921318e-20,2.0692717737071346e-17
Sntb1,439.38041504448154,-0.49177411359129675,0.05496004775674641,4.8383611609112346e-20,2.2650442177580166e-17
Smpd5,42.2641476222202,-1.1390225939183083,0.13279382851713026,5.0502154417144037e-20,2.2826973796549103e-17
Skil,152.53918229877792,-1.385393601173149,0.1590134842948303,6.036690617906528e-20,2.637631353983959e-17
Ski,106.06596623981616,-0.7274263425232989,0.08643103168012838,1.0775477443131401e-18,4.556288978211819e-16
Rgs1,835.0579378064407,-0.6291435629188231,0.0739071657365598,1.1174359343535304e-18,4.577296946095649e-16
Apol9b,38.15668515751656,-2.1489271292559944,0.25675276176729345,1.3920845369853142e-18,5.529528518425302e-16
Rrad,127.70076323348876,0.44180072872354775,0.05192700556790599,2.0469177677985333e-18,7.891470029500933e-16
Slamf7,82.64527185070983,1.2243887055055238,0.15396976524668096,1.3915876563260116e-17,5.211694571177532e-15
Ifngas1,65.37148671771722,1.8215137937605166,0.22722046103072888,4.7197233377607166e-17,1.7185037086490963e-14
Susd3,133.49219398743418,-0.5677463091175698,0.07023285759893509,6.174299143433075e-17,2.1873706262735335e-14
Fam129a,368.25468279622015,-0.3018872062540248,0.03840416768411775,6.40517344033653e-17,2.2094477225245066e-14
Ctsw,358.09483021966173,-1.250225752304599,0.16176502021231035,9.30855590183271e-17,3.1286295066980295e-14
Cd96,322.1525450840302,-0.4954693058887497,0.0616476627822094,1.1425268070805977e-16,3.744060346803119e-14
Gpr68,209.3239335966069,-0.44799627597574393,0.05607386575109766,1.5294284677642747e-16,4.889694720842466e-14
Nrp1,357.499708708615,-0.7956073319369119,0.10365026963231831,2.4596689586620995e-16,7.676509692891142e-14
Mapkapk3,304.2881115384813,-0.4586540080676461,0.05790490891380879,2.7553048546088264e-16,8.399194426561045e-14
Lilr4b,176.219154538236,0.6617141364995998,0.08493232326140393,3.271403217804434e-16,9.745807586131938e-14
Fgl2,219.0617788819999,-0.9111078307922138,0.12181332167042501,4.843788959918848e-16,1.4109419041470281e-13
Cd53,2337.7430641474994,0.21090210200011822,0.02760616056116451,5.610372455090575e-16,1.5987122204636361e-13
Ston2,21.482057284553708,0.9341983476123857,0.12614803242926234,7.571128923459145e-16,2.1115395303979252e-13
Smurf2,166.99644590848368,-0.6387406584703887,0.08372256507707358,1.395000231445486e-15,3.8095131320390476e-13
Rnf149,102.26021304616772,-0.5900368431601548,0.07708031451172143,1.6256696261737145e-15,4.3488321346704184e-13
Ccr5,224.14049839148421,0.7288334017420726,0.09746660974932414,2.0458483343977866e-15,5.363395993457237e-13
Coro2a,527.8506461468309,-0.3940525347514814,0.0520186261121302,2.427692275828014e-15,6.239645166971295e-13
Acsbg1,229.70650420069794,-0.43061354627988324,0.05660394295628404,2.703628662405709e-15,6.708476338030472e-13
Dnajc15,804.169427141734,0.41135600808796124,0.054228297310362064,2.712459916963801e-15,6.708476338030472e-13
Adam19,437.4020102638674,-0.38963798120881277,0.051628466847567424,2.8437650956990224e-15,6.902976458226442e-13
Lilrb4a,350.306735105711,0.5679860749942358,0.07484904637539269,3.0803281782484823e-15,7.341262138269291e-13
Ttc39b,408.7064659265906,-0.36091331804093685,0.048455369056447484,3.9379050454412e-15,9.21751059565058e-13
Crmp1,61.07716158971307,-0.7994844616600714,0.11085107213857963,7.993848375731132e-15,1.83830464051024e-12
Vim,4938.351185983269,-0.4241091141874266,0.057247611467778285,1.1419925507140224e-14,2.5809031646136907e-12
N4bp1,205.9647230028414,-0.5066933660460207,0.06871353914152603,1.8994261710824493e-14,4.219945466194702e-12
Ninj1,49.366767100525124,-0.6231921733745063,0.08544677632470087,1.978301517377324e-14,4.321929381630327e-12
Gpr183,464.3433636263612,0.4553732212128956,0.06190393758805681,2.0227816557105655e-14,4.3466593349269004e-12
Osbpl3,236.01567133526922,-0.4314757734360607,0.058989936788768474,2.4029343988324907e-14,5.080268403209079e-12
B4galnt4,50.77953891615883,-0.7722430297905216,0.10958247203402065,3.3478701272654437e-14,6.965695496538959e-12
Aqp3,28.54344467495476,-1.4534477863580353,0.20702274263191026,4.5558386344877086e-14,9.330927003260139e-12
Akap13,1682.5807393863215,-0.3180939353624719,0.04550798902503222,5.6115251300993105e-14,1.1316287908514117e-11
Apol7e,21.236692170272313,-1.2184472122995356,0.17876675796089703,6.476709447609866e-14,1.2863137490798504e-11
Rapgef6,1190.4719414586127,-0.349523349414879,0.04970632347316418,6.745435714358065e-14,1.3196891245344106e-11
Ikzf4,280.9334138090059,-0.45155258140833465,0.06292722031941558,7.336921382397554e-14,1.4142994923598108e-11
Mmp9,117.53370075569954,1.3441616658974325,0.1961487262022016,8.966571231123023e-14,1.7033886332979794e-11
Apobr,48.33534891223627,0.808722216760542,0.11801496045817658,9.776642977648632e-14,1.8307462307288325e-11
Rexo2,742.1652177241702,-0.3721186990477779,0.053089700111371145,1.1096497835381428e-13,2.0486323045940812e-11
Foxo1,523.1059504420725,-0.28458981240481146,0.04177502262636051,1.3757333342539254e-13,2.5045989646389518e-11
Edaradd,17.330125919214133,0.9191818040164152,0.13796620163486853,1.7431797018812561e-13,3.130082127706782e-11
Gpr25,4.793114604506649,-3.9772897650395276,0.7860075447528826,2.395356265007573e-13,4.2430175569890904e-11
Kcnip2,20.556941539155595,-0.9671364381013081,0.14697201282064778,2.505812097927986e-13,4.379491330618672e-11
Ssh2,463.1160794688234,-0.4672318555952305,0.06702599655456876,3.29029590871019e-13,5.674894575180681e-11
Il12rb2,59.06264918599037,1.0737352014582433,0.16524630888549902,3.8419671862664e-13,6.54032543864675e-11
Gimap7,1894.2784177400185,0.24416414699116357,0.03675415875691314,4.772337073310252e-13,8.01997363550651e-11
Lbhd2,4.2228410382534065,2.037709226932437,0.30521020894305995,6.095713540436524e-13,1.0114254821271134e-10
Cln3,185.1045755154802,0.33680144465411194,0.05058734825644015,7.257228698904311e-13,1.1890969223154715e-10
Tpi1,434.9278299532281,0.48732938755893374,0.07127414792823183,8.558383924995554e-13,1.384978968998046e-10
St6gal1,335.0708248894159,0.32808080871141476,0.04970694250529777,9.39210495030558e-13,1.5013623376659212e-10
Tgfbr2,249.92994725118106,-0.6243327134057663,0.09265019317818166,9.976298337097346e-13,1.5755339590683375e-10
Adamts6,198.83403561881573,-0.5879113529002413,0.0869008118863903,1.0529638937258858e-12,1.6431250855903464e-10
Fmnl3,77.59367905713843,-0.6224672659043873,0.09257230946855145,1.1152695747839184e-12,1.6998783239846046e-10
Cpox,139.16383611873894,-0.43022117491873135,0.06359708306288094,1.1091742305944037e-12,1.6998783239846046e-10
St8sia6,53.40664311796771,-1.5808418802650879,0.24035471798779845,1.28319342190603e-12,1.9333447556717518e-10
Eya2,53.97261282867345,0.6505718688423349,0.0976736233840434,1.3903440168895969e-12,2.070980610612368e-10
Sema4d,864.3994737016627,-0.20990528596730357,0.03209261790427518,1.4600725451570362e-12,2.15040796875488e-10
Ptger4,206.585732242199,-0.37383768319557165,0.05647321037729846,1.597426654802316e-12,2.3265631767943066e-10
Zdhhc20,572.658324141302,-0.3315194886753678,0.05097855688509845,1.874314178171897e-12,2.699836290931564e-10
Pglyrp1,1549.265646675756,0.3828299639392851,0.05799587149759278,2.0321548669316896e-12,2.8953789125804987e-10
Acoxl,26.527828768779667,0.9676947906147432,0.15483376580154337,2.239338364226352e-12,3.1562631482020454e-10
1600014C10Rik,308.94931184366226,-0.4912400315649129,0.07341966732355681,2.300085300174954e-12,3.2073955441163083e-10
Npc2,1521.8575859017287,0.20271918771364786,0.03172793555764529,4.254225280565703e-12,5.869935260805813e-10
Bcl2l15,10.163531186085264,-1.5815298613669033,0.24832668785852086,4.766431576114848e-12,6.508165114553482e-10
Golm1,118.75040280752009,-0.5390044634445057,0.08219212643677361,5.219917062674571e-12,7.053883799746214e-10
Lyst,123.85991028695011,0.5785792440873028,0.08862049197046537,5.370007850637112e-12,7.182659480219517e-10
Il2rg,3372.670002176796,0.1225304003934365,0.019489753586460594,7.43213513876643e-12,9.84044721201519e-10
Aldoa,1742.6198457984042,0.21193381311797288,0.033817760124023516,8.284170438626866e-12,1.0858890610952097e-9
Bin1,366.7386257899166,-0.25105146554816055,0.040519008965010865,8.501395066668716e-12,1.1033295696425102e-9
Dop1b,90.5410111254619,0.4133424530658034,0.06435508865976013,8.946377719385181e-12,1.1496972465264798e-9
Serpinb6b,176.7071477204579,0.541044417388642,0.08458632213456338,1.4710967233850928e-11,1.8721491116632815e-9
Peak1,281.7596412004062,0.3230234944206583,0.05250830151096185,1.5785474076139222e-11,1.989576867211855e-9
Gapdh,1692.6704493659984,0.2018173086024712,0.032854429673036346,2.0158341409567776e-11,2.5165289447296608e-9
