genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Rpl7,4104.2998261491375,0.0647654633525684,0.03569464889924698,0.010101195630171209,0.19897006276174453,spleen,1993.4228592885136,0.10278001142247668,0.028445960673083984,4.409430151892568e-5,0.0029774677100654567,all,pooled cells specific
Zap70,409.04463319471415,-0.10113431716277169,0.061935778883995415,0.0021781891638749666,0.07561173040172528,spleen,206.430601952332,-0.027559946369316194,0.040109743595657256,0.2644292583291652,0.7096109555360907,all,group specific
Aff3,226.65419364617605,0.028715126930538085,0.05883546329894083,0.16075341262051698,0.7047522799667593,spleen,120.71240873779045,0.0969547197068017,0.083034884239713,0.00437524056045819,0.08499681656339471,all,pooled cells specific
Rpl31,2384.6761793496735,0.07506931650444469,0.036279111251291324,0.004108199215929184,0.11371388025790913,spleen,1158.938970015226,0.11435139190414528,0.035475941060511544,7.767293595732703e-5,0.004372812655611492,all,pooled cells specific
Il1rl1,52.09993532562433,0.14443791898274824,0.22365621415419365,0.002845083928097751,0.08958312591445335,spleen,27.58993810662891,0.1534599674101807,0.27477612157098164,0.002128544700227989,0.05298801138539906,all,both
Stat1,1201.7198730808468,-0.8481122335265786,0.10564788347311244,7.389333238944831e-19,3.129382626693136e-15,spleen,517.9184791432006,-0.8832427880954967,0.09185490051266593,1.7905131627395954e-23,9.672352105119294e-20,all,both
Stk17b,956.8903486054357,-0.0952520357299288,0.04170841171894586,9.461769212298663e-4,0.04047534607483317,spleen,439.8514119231315,-0.0281613178648293,0.03436798171804739,0.21647844880863298,0.6688545822035495,all,group specific
Plcl1,48.024296541556495,0.16585727006353587,0.19235029843661045,0.0023259531743418794,0.0784893362018953,spleen,23.615610941253617,0.051327665068227876,0.0866160837815135,0.03277842900879161,NA,all,group specific
Ikzf2,1642.7691785101297,-0.13858756415735796,0.05651205199746171,7.679464767204239e-5,0.006194768245544754,spleen,754.8382364864607,-0.08714123586840869,0.04547663037390165,0.004774427945409203,0.09017992923461716,all,both
Retreg2,79.94124573548007,0.007664556369242625,0.046299589315779474,0.6781859125418297,0.9506404373191515,spleen,37.724040647004394,0.11138832656070627,0.09509493468924321,0.0025404603161328578,0.05880300558535871,all,pooled cells specific
Agfg1,357.71637663481164,-0.08421977568625218,0.06419299882914206,0.006839836284069854,0.15657679277316663,spleen,172.45429920799575,-0.10478132881893365,0.05763583194174167,0.0018370810754991444,0.048409326682177456,all,pooled cells specific
Sp140,124.29537650338726,-0.4024357411350961,0.10333233271567793,1.5040802422583288e-6,2.159247398631872e-4,spleen,58.36555545264726,-0.40792186492973664,0.12157016750417936,1.866460995491119e-6,1.800468267436254e-4,all,both
