genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.09357355803135137,5.191955883802211e-6,0.08069051022261801,0.9979730011709094,NA,CD62Lneg,0.034870515756227495,0,0.08612355302163097,1,NA,CD62Lpos,none
Mrpl15,82.41332522423728,3.8419727886468945e-4,0.028643239097678956,0.956335144893964,0.9995387711633981,CD62Lneg,93.437800441528,0.0129944285125405,0.03691104314827684,0.24047244186267955,0.929015242400447,CD62Lpos,none
Lypla1,89.97290024716636,-0.00458225727027719,0.029937710647954006,0.5370117412749416,0.9950880483710552,CD62Lneg,99.35762340401993,3.4938844442560174e-4,0.03022265406190975,0.9716116683967991,0.997347812841567,CD62Lpos,none
Tcea1,163.1182598448393,-0.01396400152051437,0.03564025173378369,0.14783645551144547,0.9609239036555587,CD62Lneg,160.41198708194153,-0.006633486754770327,0.029873865847792017,0.5324756067566895,0.9813780740169612,CD62Lpos,none
Rgs20,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.09067483167271487,5.647199395937068e-4,0.08617696459001467,0.7831803657177524,NA,CD62Lpos,none
Atp6v1h,51.95922735300754,0.0033398698122618794,0.03221817484407304,0.6399606662037557,0.9995387711633981,CD62Lneg,54.77961831542103,0.0017557341974808042,0.03350435469328319,0.8475625183304902,0.9955873300665553,CD62Lpos,none
Rb1cc1,87.59855988898066,-0.002797765045731682,0.027666623893339546,0.6994800075853673,0.9995387711633981,CD62Lneg,83.85907655361115,0.08039161067798113,0.10532187800450034,0.00675676841713462,0.33997421577585274,CD62Lpos,none
4732440D04Rik,4.2504152340066454,-0.01344489661624096,0.08377179047484096,0.10798646561041401,0.9412404472423085,CD62Lneg,4.858210476649198,8.639571214113926e-4,0.0539987351957824,0.9098470627043664,0.9955873300665553,CD62Lpos,none
St18,0.07419046171364774,5.783115091424939e-4,0.08151364070107843,0.7483080353433489,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Pcmtd1,55.73583781543576,0.0023281240083868286,0.03233437782182999,0.7396869624005225,0.9995387711633981,CD62Lneg,54.46030048999549,-0.014285490743220214,0.045166688502294536,0.19870075677734983,0.9078783772628826,CD62Lpos,none
Gm26901,1.09948577291702,0.012356484165435968,0.10979138884718787,0.06451356382175784,0.888098796608946,CD62Lneg,3.17371632343531,0.008493602499021593,0.07394620430617019,0.29425009421054327,0.9440720660566275,CD62Lpos,none
Gm30414,0.9237137471392606,-5.89547659262116e-4,0.06875006479741108,0.8913339880900653,NA,CD62Lneg,1.4687100989504935,0.008978301257844606,0.091671003347022,0.18227013649380983,0.901554817231398,CD62Lpos,none
Sntg1,0.010647306232639077,0,0.08132026992279863,1,NA,CD62Lneg,0.009441499645342364,0,0.08612355302163101,1,NA,CD62Lpos,none
Rrs1,21.644475528875564,0.008385432915916214,0.04817178642164207,0.29320800673500325,0.9861761070837507,CD62Lneg,31.691087515361104,-0.0032454378336074933,0.03969594544832577,0.7098107405175946,0.9932285041188741,CD62Lpos,none
Adhfe1,0.07858957389397443,4.621246161789515e-6,0.08089641580204301,0.9981258560591508,NA,CD62Lneg,0.34448612135660694,0.0018924983150617261,0.08101596266153055,0.6734196241502208,NA,CD62Lpos,none
2610203C22Rik,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.04659984218199098,3.377053569183463e-4,0.08615970983844913,0.8670433512967382,NA,CD62Lpos,none
Mybl1,0.6286678938534862,0.0011309726215496924,0.06971290400775418,0.7913281831112495,NA,CD62Lneg,1.5445032941752304,0.0034442717787130017,0.06892903577971614,0.6098778790142323,0.9826584492416965,CD62Lpos,none
Vcpip1,46.74763531100418,-0.01341488241965894,0.048144114669295225,0.15750764208575013,0.9638827799182419,CD62Lneg,48.86571852811998,-0.008918288596314586,0.041033647247313,0.3631167392681967,0.9605934756499345,CD62Lpos,none
1700034P13Rik,1.3670356043094378,-0.0031002899124468733,0.06887119462660991,0.525894840871074,0.9934380057674922,CD62Lneg,1.2760807191166954,-6.781023073459206e-4,0.07082538136782997,0.9108498820668965,NA,CD62Lpos,none
Sgk3,4.19420111224929,-0.003852706788272537,0.0557959199135415,0.5325538950081925,0.9938193438255287,CD62Lneg,12.139572441651213,0.00443487931108502,0.050391187538849656,0.5959051688044376,0.9826584492416965,CD62Lpos,none
Mcmdc2,0.10035423094814051,3.859984503345145e-4,0.08140648679902546,0.8301924250146022,NA,CD62Lneg,0.1607869480424908,-7.930185238193947e-4,0.08584993074800144,0.7339127812766152,NA,CD62Lpos,none
Snhg6,83.51170844338489,0.0020128701594030883,0.029611446703507165,0.7757583280279274,0.9995387711633981,CD62Lneg,90.53648082024593,-0.00731252518077294,0.033588752248553136,0.4650788394198381,0.9752653719072855,CD62Lpos,none
Ppp1r42,0.04293963570176449,0,0.08132026992279798,1,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Cops5,62.05364282434399,-0.006702010515274459,0.03444096060092377,0.38725784165346083,0.9877587717697615,CD62Lneg,71.83058040460543,0.01134092695549029,0.036754719965855664,0.2872665191470115,0.9434170449398619,CD62Lpos,none
Cspp1,25.382090072971764,0.008071887077574755,0.04445823407255981,0.31076148550239857,0.9861761070837507,CD62Lneg,30.050318029674372,0.0071717398551667515,0.04331486034864003,0.44021060825921265,0.975149832176459,CD62Lpos,none
Arfgef1,55.56326157835098,0.0024890115175077517,0.03227909888853579,0.7231567921092059,0.9995387711633981,CD62Lneg,52.293991493504706,-0.00467635178776665,0.03619999274123133,0.6106363781448997,0.9826584492416965,CD62Lpos,none
Cpa6,0,0,0.0833599856658677,NA,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Prex2,0.13426014067705525,6.164496584852089e-4,0.0814392411914539,0.7382639612677205,NA,CD62Lneg,0.047890799882532475,0,0.08612355302163098,1,NA,CD62Lpos,none
A830018L16Rik,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.028882000167571795,-6.554584246918257e-5,0.08612440692205395,0.9740758953172232,NA,CD62Lpos,none
Sulf1,0.021469817850882245,0,0.08132026992279863,1,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Slco5a1,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.08221387776229426,3.3770535691834654e-4,0.08615970983844913,0.8670433512967382,NA,CD62Lpos,none
Ncoa2,93.20459730232425,-0.0088012946141003,0.03425883642443179,0.28748084669605733,0.9861761070837507,CD62Lneg,83.46265775755109,-0.02352000731268363,0.052776548646483644,0.08382131388134953,0.8458985102547449,CD62Lpos,none
Gm29570,0.16955964861234368,6.334593821587448e-4,0.0802587367626021,0.7805054697266471,NA,CD62Lneg,0.19007655397285061,-8.164917877218681e-4,0.08306609724105175,0.82049907385001,NA,CD62Lpos,none
Tram1,176.65676685505636,-0.006979359186543354,0.027946352460313767,0.38354880900601285,0.9877587717697615,CD62Lneg,161.11005199526346,-0.004552573807349838,0.030408704985005208,0.6531093806557537,0.9884612175905794,CD62Lpos,none
Lactb2,20.25268850724499,-3.7928305989049665e-4,0.04076900434956783,0.9545129215891267,0.9995387711633981,CD62Lneg,21.478345351001046,0.009779029108334867,0.04939135682358571,0.3164583336930463,0.9501974680901701,CD62Lpos,none
Gm9947,0.01594757720608008,0,0.08132026992279863,1,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Msc,0.08145707727041074,-1.966380091775554e-4,0.0813395944546568,0.9129972045687305,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Terf1,45.39760049957474,-0.001190914778454174,0.031117640256652694,0.8639067216574972,0.9995387711633981,CD62Lneg,44.978057074091026,-0.004752712257746909,0.036431448157895605,0.6045407044260085,0.9826584492416965,CD62Lpos,none
Sbspon,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.11555420014815639,0.0011351017415597308,0.08567483277047444,0.6572810850457383,NA,CD62Lpos,none
4930444P10Rik,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.28855898350748027,8.080839415245269e-4,0.086326041729519,0.6895371361431923,NA,CD62Lpos,none
Rpl7,1874.154055242638,0.007901265725990701,0.024305170466904683,0.3448787876567206,0.9861761070837507,CD62Lneg,2176.7015079116,0.01592614132570212,0.03008987979366465,0.20248229348317695,0.9078783772628826,CD62Lpos,none
Rdh10,2.1684170739778557,0.006817664760194992,0.07351393821193107,0.25919112999654986,0.9861761070837507,CD62Lneg,2.1986875572206683,0.0015039057568722875,0.06658210160822244,0.8198619113949865,0.9944835449049151,CD62Lpos,none
Stau2,1.4633024773379066,0.010600335992000158,0.09661976323830783,0.10496738441196259,0.9412404472423085,CD62Lneg,0.6454626970902891,-0.0026344570210545698,0.07871324704250927,0.614674877137277,NA,CD62Lpos,none
Ube2w,32.064027740242324,-4.86011753405644e-5,0.03404269032815228,0.9943254711580616,0.9995387711633981,CD62Lneg,29.456997677284534,0.007029602939170073,0.04195839503701392,0.4503741991077143,0.9752653719072855,CD62Lpos,none
Eloc,153.76519028162625,0.004389483269299918,0.024941253555434237,0.566193989270827,0.9995387711633981,CD62Lneg,157.75097402708215,5.422291311616091e-4,0.02776420274236281,0.9597847364768559,0.997347812841567,CD62Lpos,none
Tmem70,26.722751292761274,0.003147120413231297,0.03730478176649049,0.6529612660928228,0.9995387711633981,CD62Lneg,32.70340271316687,0.007215207092639825,0.04067667080112497,0.4433291542747666,0.975149832176459,CD62Lpos,none
Ly96,15.225582019890723,-0.0029627758058786537,0.04504232370581024,0.6587623246155623,0.9995387711633981,CD62Lneg,13.778120849451145,0.004415951484217926,0.04650145974993802,0.6063252048522559,0.9826584492416965,CD62Lpos,none
Gm28153,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.08483354569829034,3.377038393766352e-4,0.08615970951362609,0.8670439428699652,NA,CD62Lpos,none
Pkhd1,0.1524133015322744,3.990684900623047e-6,0.0811386049091882,0.9982998379974435,NA,CD62Lneg,0.0313901847810691,0,0.0861235530216309,1,NA,CD62Lpos,none
Il17f,0,0,0.0833599856658677,NA,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Mcm3,51.870485897938416,-0.0014282262759531808,0.03662510458699932,0.8342180447881387,0.9995387711633981,CD62Lneg,69.93397468842659,-9.840360323598407e-4,0.04678042926341606,0.9037184335259788,0.9955873300665553,CD62Lpos,none
6720483E21Rik,0.01901605743129316,2.7522494860081693e-5,0.08131951278107946,0.9877901224362419,NA,CD62Lneg,0.07758167743504207,5.397177680952347e-4,0.08621528075155548,0.7891679811763459,NA,CD62Lpos,none
Paqr8,7.107747795789161,-0.0035266910443197247,0.053502495854003664,0.5735139613963917,0.9995387711633981,CD62Lneg,8.628643545663735,0.0025025505673066514,0.04984406091135705,0.7566491365309959,0.9939628405861654,CD62Lpos,none
Efhc1,0.431970959660658,-0.0020296628271941,0.07291493378463253,0.6213486762893365,NA,CD62Lneg,0.3049070713678019,0.0021497463226485113,0.0807750477035573,0.6427855690632278,NA,CD62Lpos,none
Tram2,6.225875473924381,5.2610191724396416e-5,0.04788941764015369,0.9932776331216981,0.9995387711633981,CD62Lneg,7.551641908211394,0.0021466189755137495,0.05375783867796952,0.7820523210412843,0.9943418942541924,CD62Lpos,none
Tmem14a,4.06872049272213,-0.001337738895095228,0.053836941420706795,0.8182023487392078,0.9995387711633981,CD62Lneg,5.517108378660085,-0.004828780800106364,0.06083659521884735,0.5338486520956314,0.9816762704581073,CD62Lpos,none
Gsta3,0.6692849943642479,-0.0012069720411731703,0.06887378625025653,0.7829763977869197,NA,CD62Lneg,0.36926171564871646,0.002941051871799398,0.08266662582629765,0.5139660916651381,NA,CD62Lpos,none
Gm28836,6.488302287067629,-0.005598813394203074,0.057574581123869824,0.3955873451653261,0.9877587717697615,CD62Lneg,3.7567782475661042,0.002251573744536791,0.0588757520773695,0.76024371604299,0.9939628405861654,CD62Lpos,none
Khdc1a,1.108646043753277,0.006465332455687755,0.08645107076378122,0.18885353731039123,0.981577647852449,CD62Lneg,0.753468713314856,0.006545613972675756,0.08621972274817051,0.2713280012041829,NA,CD62Lpos,none
Khdc1c,0.04072853863520537,3.54832724172632e-6,0.08131879816342828,0.9984258817591369,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Kcnq5,52.33108667876904,0.0015966933889524557,0.03833882993611298,0.8141784383390385,0.9995387711633981,CD62Lneg,68.04564509731972,0.018008094684492423,0.057232363582576475,0.13554714929101147,0.877535718064433,CD62Lpos,none
Ogfrl1,3.8923906153490293,0.004188906543409224,0.06274685082035104,0.46559096659319077,0.9887675047616902,CD62Lneg,7.145680276818437,-0.0168432141274911,0.08577751699113649,0.11968400226390428,0.8684177871597448,CD62Lpos,none
B3gat2,5.404572758265911,-0.0032221324058007757,0.05251567778392204,0.6072305837514738,0.9995387711633981,CD62Lneg,4.60921211383385,-0.004842279181410651,0.058247379524274785,0.5422720595269332,0.9820055714988137,CD62Lpos,none
Smap1,176.79531672300138,-0.00539490423937941,0.029058093286679475,0.47876940774311144,0.9899392556847563,CD62Lneg,170.5194294516714,-0.001496432993637196,0.02822785509493398,0.8875964757970534,0.9955873300665553,CD62Lpos,none
Sdhaf4,34.62418079398058,-0.007067179443884431,0.04277239646724889,0.3600106219736989,0.9875220710125019,CD62Lneg,37.416438046434735,-0.018383077670839867,0.060634678323771965,0.13019764359351016,0.8684177871597448,CD62Lpos,none
Fam135a,0.35226787986809405,-0.0028321479060442975,0.07705306487153608,0.4653987790458012,NA,CD62Lneg,0.5511840879734551,0.006620432244650622,0.0888379209595485,0.2317066047523872,NA,CD62Lpos,none
Lmbrd1,54.22537113189816,0.002574714230123858,0.031145987866263106,0.7157253725414834,0.9995387711633981,CD62Lneg,50.69024324955618,-0.0018921086402625554,0.035762648477531044,0.8309834939260581,0.9955873300665553,CD62Lpos,none
Adgrb3,0.04880218715642865,3.5483272417262334e-6,0.08131879816342828,0.9984258817591369,NA,CD62Lneg,0,0,0.08748108405059825,NA,NA,CD62Lpos,none
Phf3,82.13147358399651,9.27137342101088e-6,0.0292207644527368,0.9989411256521332,0.9995387711633981,CD62Lneg,80.54492372724445,0.02198418903187978,0.04930915601452468,0.09505055926314027,0.8564132130547859,CD62Lpos,none
Ptp4a1,0.24891490140517356,2.1721601433241433e-5,0.07392615700779814,0.9951840248373133,NA,CD62Lneg,0.11409433892890285,-1.9627692922364167e-4,0.08447535402505607,0.9470137283177273,NA,CD62Lpos,none
Ptp4a1.1,18.543249040258626,0.007456669665501646,0.04730038421103984,0.33445366699390494,0.9861761070837507,CD62Lneg,20.215790745757307,0.005343999446367266,0.042783001046089945,0.5489661109938813,0.9820055714988137,CD62Lpos,none
4931428L18Rik,0.30179936576727656,0.0026518697207101997,0.07753049255354205,0.4760919601974501,NA,CD62Lneg,0.17345453452615192,0.001701118841852207,0.08574281947376505,0.5426852963434716,NA,CD62Lpos,none
Khdrbs2,0,0,0.0833599856658677,NA,NA,CD62Lneg,0.02194868513572674,0,0.08612355302163097,1,NA,CD62Lpos,none
Prim2,12.743767446790983,-9.418045920521594e-4,0.048645350253675605,0.8796490187439769,0.9995387711633981,CD62Lneg,18.121847016124114,-0.019465246921133866,0.07409280074443816,0.11104407103431489,0.8684177871597448,CD62Lpos,none
Rab23,7.123135032755452,0.008102674263659942,0.05839204153458186,0.27627796571312185,0.9861761070837507,CD62Lneg,8.802018037812655,-0.0011371066709893382,0.047472735447059,0.8883688600441448,0.9955873300665553,CD62Lpos,none
Bag2,1.1619248202387853,9.383457413648787e-5,0.06468000508499461,0.9841434728580224,0.9995387711633981,CD62Lneg,1.5228084154335435,-0.0014673132099090433,0.06905287162065572,0.8170383496881171,0.9944835449049151,CD62Lpos,none
Zfp451,26.25263680541099,0.01054644291630841,0.0515472546742322,0.21867498177651903,0.9836524538305857,CD62Lneg,29.432840925519894,-0.010507246973024778,0.0476888531415067,0.2940545146028149,0.9440720660566275,CD62Lpos,none
Bend6,2.6895889589510222,0.001904069188454501,0.05796548810943067,0.7307976861104118,0.9995387711633981,CD62Lneg,3.0871720025607585,-0.0031916787467960723,0.06416163196311837,0.6536675338220583,0.9884612175905794,CD62Lpos,none
Dst,35.671400344376075,-0.004796909115992544,0.03891347666765079,0.5086867264536825,0.9929342130109636,CD62Lneg,26.28139812256578,0.007679124864307652,0.05005012078287016,0.401782526285397,0.9668194446675613,CD62Lpos,none
Gm26788,0.41329139357353284,0.004845258072019105,0.08451902670217998,0.23197908758688646,NA,CD62Lneg,0.16428361718209533,-1.6565097926148718e-4,0.0820300480122835,0.965852452826197,NA,CD62Lpos,none
Gm37233,1.8005438558284526,-5.232120248034598e-5,0.06374824170789695,0.991325671793801,0.9995387711633981,CD62Lneg,1.8311822910195834,0.022097126153015536,0.13425392882769854,0.0351099514802067,0.6814322360938335,CD62Lpos,none
Ccdc115,33.388136180500226,0.019428444918717324,0.06274983966861528,0.0862650759938921,0.9111744017808001,CD62Lneg,36.517061799819515,-0.0019136067274403942,0.036922633209539965,0.8271601135079323,0.9955873300665553,CD62Lpos,none
Gm28306,0.18354678137578417,7.4356803547325585e-6,0.0799711386407105,0.9974046829770726,NA,CD62Lneg,0.1633252589145491,1.8803157647303051e-4,0.08556816225198148,0.937195329431074,NA,CD62Lpos,none
Imp4,50.36501507196653,-0.00296911811887305,0.03424172757385192,0.6731494536648484,0.9995387711633981,CD62Lneg,57.39605319123949,-0.0031020301729069726,0.03416056767877986,0.7352371123845459,0.9934446724094264,CD62Lpos,none
Ptpn18,908.3200630729186,-0.10424574363061949,0.05459462283414466,2.9956938643726643e-4,0.05060519914713058,CD62Lneg,856.9882858453699,-0.04121066605860549,0.0462568657010088,0.017769728507344894,0.5266912008439351,CD62Lpos,CD62Lneg
