genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.08226104266861117,4.699013642119039e-5,0.06012850699844537,0.9618693908171041,NA,mLN,0.08617670254136507,-1.860955966820746e-5,0.07493012564435828,0.9902730660208641,NA,spleen,none
Mrpl15,86.10929496194404,-0.003593390953778481,0.026029625392636136,0.12673369899166204,0.9998195811993701,mLN,90.65250115778434,0.004118831364524782,0.032442124651584484,0.6485146603249237,0.9816042078139916,spleen,none
Lypla1,98.53259970538349,9.776827122910592e-4,0.014190320871456219,0.44833099085063083,0.9998195811993701,mLN,100.91527482079948,-0.001253715727974595,0.029259029868969083,0.8869430063116847,0.9954260179340761,spleen,none
Tcea1,157.5062440920541,-3.727242482053483e-4,0.007907998361441819,0.5924753085971846,0.9998195811993701,mLN,169.2801163237261,-0.0028184438461690436,0.02748901209584443,0.7504367280216091,0.9894099658107396,spleen,none
Rgs20,0,0,0.0616039053461421,NA,NA,mLN,0.05377646840174358,-1.8607263110422264e-5,0.0749301256097143,0.9902742663342553,NA,spleen,none
Atp6v1h,56.387711614908106,-4.766940004434977e-4,0.013487130107625983,0.7162285584022241,0.9998195811993701,mLN,59.318761015837424,-5.203439859868848e-4,0.03530852357159378,0.9521234877223177,0.9974035539671765,spleen,none
Rb1cc1,88.63242998229579,0.02684332440126428,0.08135183885457677,0.013364215575111166,0.7471859691883418,mLN,95.1915197176556,-0.00396276901195952,0.033196806662614375,0.659768226690991,0.9816042078139916,spleen,none
4732440D04Rik,4.313699577483125,0.0018067643414001165,0.03612403930642042,0.5179992332392518,0.9998195811993701,mLN,4.354691954088623,-0.002067697113746584,0.05530255939526707,0.7615391372738786,NA,spleen,none
St18,0.09834070449912775,-4.9390287540712445e-5,0.06012884229617024,0.9599235123111444,NA,mLN,0,0,0.07592940233025587,NA,NA,spleen,none
Pcmtd1,52.10164698774757,-0.0015056625926054613,0.01994971159135304,0.41772364254835226,0.9998195811993701,mLN,59.068169871222885,-0.029667187971692495,0.06992835473264118,0.056940272278641055,0.7322462709560724,spleen,none
Gm26901,2.644429863018385,0.006649996907417088,0.07773353930543578,0.08671049887483565,0.9998195811993701,mLN,2.0494409995684895,0.001842958394567716,0.06055487769919363,0.7540943091257712,NA,spleen,none
Gm30414,1.375531894726767,0.0015531751536249458,0.05199898717486124,0.5317071437867672,NA,mLN,1.6819643781608757,0.004953315806643106,0.07336699282635513,0.30567545530694956,NA,spleen,none
Sntg1,0.030533315302390632,0,0.060125306319723265,1,NA,mLN,0.07714493641437606,-2.2533558167953598e-5,0.0747229949266619,0.9892672988514862,NA,spleen,none
Rrs1,26.75872076770036,-4.7596314881321943e-4,0.019641122700543197,0.8051770729896613,0.9998195811993701,mLN,26.400632041169224,0.043774998939675944,0.10458054667532161,0.023839618771711042,0.5797208772372363,spleen,none
Adhfe1,0.10684844558511641,0,0.058828290764770676,1,NA,mLN,0.09498117207147874,-2.4976329508832972e-5,0.07459473885314262,0.9886811335251453,NA,spleen,none
2610203C22Rik,0,0,0.0616039053461421,NA,NA,mLN,0.09008240120387986,3.673280671481215e-4,0.07468235096751448,0.8327467456779948,NA,spleen,none
Mybl1,1.1688578749300997,-0.0010191725516468513,0.04676287967523948,0.6911375505791573,NA,mLN,1.092463161252899,-6.021562713563872e-4,0.06521810271029006,0.9003986193552292,NA,spleen,none
