genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.6468137173208642,9.777083502248154e-4,0.10914702085603216,0.8830844490680095,NA,CD62Lneg,0.260163029343184,0.0017348304317486847,0.14268418529664684,0.8124634156356842,NA,CD62Lpos,None
Mrpl15,521.4428188339444,0.003378562550293801,0.026557942562206196,0.7343398942454968,0.9923679993120093,CD62Lneg,451.61304391622025,0.02702541093817988,0.04771810358212344,0.18957573424856236,0.7751729463451269,CD62Lpos,None
Lypla1,620.931580931983,-0.002867539974247417,0.02703187348592807,0.7730399535798926,0.9926929450188076,CD62Lneg,506.80749785546885,0.006050351053997625,0.035231692023332546,0.7105434432430533,0.9774672424866547,CD62Lpos,None
Tcea1,1072.9798104111583,-0.011086119052317399,0.02630395416517331,0.30666355411161567,0.909508666962304,CD62Lneg,808.2132875805574,-0.004607385753570373,0.02766660788494858,0.7385566031830271,0.9793717554762853,CD62Lpos,None
Rgs20,0.1484235582790562,2.03989011061037e-4,0.12510059521393946,0.9603133209732857,NA,CD62Lneg,0.5385270137512158,0.003853059909560401,0.13064213626971333,0.6881069173428099,NA,CD62Lpos,None
Atp6v1h,352.9578453121733,-0.0027550742614834895,0.030494430239775303,0.783625645606222,0.9926929450188076,CD62Lneg,290.37329685125053,0.00816600667389957,0.04020781633340693,0.6368061098578444,0.9637179567040071,CD62Lpos,None
Rb1cc1,590.8264566738071,5.391867208893009e-4,0.02606749198223179,0.9561872179527579,0.9965164548303939,CD62Lneg,438.20033022542816,0.016782526813228855,0.03954738728031851,0.3486780788379219,0.89420511789964,CD62Lpos,None
4732440D04Rik,28.20429592101645,-0.005680553389447061,0.05787409322468558,0.60944573272327,0.984731495024083,CD62Lneg,23.573422864080815,-0.002129655605952517,0.06637322639282905,0.891561015055709,0.9914252444450854,CD62Lpos,None
St18,0.46809420228994747,0.0019754724651767325,0.1207106537089862,0.7057897281274341,NA,CD62Lneg,0.11759452630420543,-9.883146562331642e-5,0.14874690886102301,0.9863967727281245,NA,CD62Lpos,None
Pcmtd1,369.60772108620625,0.0029675970291638495,0.029355918921838562,0.7671403340862035,0.9926929450188076,CD62Lneg,271.3091852738036,-0.03987141292752715,0.058031506026022625,0.09450980036026832,0.6225958670396845,CD62Lpos,None
Gm26901,10.733739896511892,0.013963781843583363,0.09118818498705039,0.2659319118648529,0.8956434018053522,CD62Lneg,15.359726246905524,0.06428209170945695,0.1757087409032589,0.03602244827539624,0.40234834092863625,CD62Lpos,None
Gm30414,5.45927098368486,0.015812587654583012,0.10480727146506738,0.20513536342935704,NA,CD62Lneg,10.44081059414043,0.08512413102117682,0.22410574476986952,0.019987139413336737,0.2862452653159097,CD62Lpos,None
Sntg1,0.7276128484381215,0.0035137895566249903,0.11220842137884744,0.6062484264134398,NA,CD62Lneg,0.4626786069166014,5.814210062118504e-4,0.13215019416395202,0.9479158200943095,NA,CD62Lpos,None
Rrs1,149.2039990714177,0.006958564635720445,0.03800968276687758,0.5150032140492891,0.97022029216736,CD62Lneg,142.90188571422388,0.003669526429923597,0.049115805630891816,0.8295655967565005,0.9898891499087413,CD62Lpos,None
Adhfe1,0.888718664355044,-0.005344524365610728,0.11142507061109022,0.4787010418980434,NA,CD62Lneg,0.5927876268701632,0.0038418578989796526,0.13305832040048504,0.6790473941684081,NA,CD62Lpos,None
2610203C22Rik,0,0,0.13377352062678552,NA,NA,CD62Lneg,0.31329235184595333,2.152339858868443e-5,0.13777720631946694,0.997861443203886,NA,CD62Lpos,None
Mybl1,5.596579596435467,-0.0018129171419573194,0.07766175811429864,0.8584746423404367,NA,CD62Lneg,8.969463275443665,0.013949603887369289,0.10220266275311042,0.36647226060267424,0.8981026172567652,CD62Lpos,None
Vcpip1,315.22761411694916,-0.01636923960144182,0.04058976624207248,0.1952184250227985,0.8319352511492433,CD62Lneg,246.65379656304086,-0.04789990928440104,0.0669046516846671,0.06412682852790913,0.5307145249208294,CD62Lpos,None
1700034P13Rik,8.119905946930242,-0.03750834571452507,0.1645070638812327,0.04435908356993677,0.5035666140023408,CD62Lneg,6.2878813055172875,0.001309549312006594,0.08706315923038872,0.9257333771503198,0.9953254830207239,CD62Lpos,None
Sgk3,22.86409539544487,-0.002306621329920297,0.06310877106051156,0.8306758687085132,0.993337784178862,CD62Lneg,57.220328343256725,0.002984977626683568,0.05669119603549598,0.8553187229801583,0.99107182594041,CD62Lpos,None
Mcmdc2,0.3293251495957619,0.0025904267637039033,0.12414434397567724,0.5951352713781304,NA,CD62Lneg,1.0779286689620227,0.0070229627348671895,0.12654543334173135,0.5230207194604204,NA,CD62Lpos,None
Snhg6,539.6552575256004,0.009086809027330136,0.02927980544457671,0.39847488543382287,0.9403863504093435,CD62Lneg,443.3809910826538,-0.017587215219318584,0.04093057803939405,0.3357388036770242,0.8879998451208307,CD62Lpos,None
Ppp1r42,0.22812378056558424,3.2304858695521185e-4,0.1205855032566148,0.9481950579296702,NA,CD62Lneg,0.23031142424495907,-0.003048543507131059,0.1480187039916503,0.6429180425150457,NA,CD62Lpos,None
Cops5,445.33104841990024,-0.017110311657407822,0.038565882411584707,0.17867991370271807,0.822705371385751,CD62Lneg,374.4892279600698,0.033819849829387745,0.05304849383910944,0.12988114774739642,0.6930865989469157,CD62Lpos,None
Cspp1,175.3330371539871,-0.006336437942826539,0.036704657973496986,0.5484837626469506,0.9752185345163681,CD62Lneg,142.92251427586652,0.005870740149357212,0.04948685441751762,0.7327952500709192,0.9793548104669403,CD62Lpos,None
Arfgef1,365.90135522245646,0.001139284761490473,0.029035081190087627,0.9086104274387978,0.9950841347361387,CD62Lneg,267.47176380927164,-0.039279046859032905,0.06040260494597667,0.09851593495588737,0.6325326187779368,CD62Lpos,None
Cpa6,0.37428636190455794,-0.0016116442844783386,0.1171101980313968,0.7768380991550479,NA,CD62Lneg,0.0453644062128429,-9.882241326567993e-5,0.14874690841267058,0.9863980185524747,NA,CD62Lpos,None
Prex2,0.8884694531245364,0.007553567899780423,0.12678516264241377,0.28645964499885873,NA,CD62Lneg,0.14122698812740433,0.00210238293296761,0.14984602777571748,0.7181633413644841,NA,CD62Lpos,None
A830018L16Rik,0.26188968627038656,0.0021153420356608784,0.12439563248961488,0.6491758438867516,NA,CD62Lneg,0.2051302595035976,-0.0025697964263535593,0.14811027612688707,0.68766937040316,NA,CD62Lpos,None
Sulf1,0.44366773936742987,0.0050521117185237975,0.1205372816524981,0.43476635205638764,NA,CD62Lneg,0.17457146541461022,-0.0015513810910542194,0.14925636303248307,0.7903494114280467,NA,CD62Lpos,None
Slco5a1,0.4757579300344158,-0.002176056800538198,0.11478563870980789,0.7225131382130674,NA,CD62Lneg,0.2297030013713024,0.005229322027050698,0.14897857089785782,0.47642120097077956,NA,CD62Lpos,None
Ncoa2,604.0808801960736,-0.025231103789168673,0.04310010285163979,0.08770986783079567,0.6653065605965706,CD62Lneg,423.30121332438347,-0.0645735930558168,0.06806637893926921,0.028811447836896032,0.35813335372976624,CD62Lpos,None
