genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.28437183866439986,0.00127108380788076,0.12346208068877922,0.8246850040220256,NA,mLN,0.5911046494087008,0.00117915854748696,0.12755024930499448,0.8951706645609091,NA,spleen,None
Mrpl15,392.8589642755782,0.009490179566407433,0.03467443113691433,0.5244628255049042,0.9734272447877618,mLN,588.0579601167128,0.023734417697009482,0.04178041679279769,0.2729191215679365,0.794331429002622,spleen,None
Lypla1,428.0857609745664,0.0011897377261454313,0.03419743874665575,0.9335633457280902,0.9929847230881587,mLN,710.4680344412328,0.003042615894023659,0.035010676120841924,0.8760815521244464,0.9826529175134782,spleen,None
Tcea1,715.8649010365718,0.0025443978957865104,0.028683824177518618,0.8616400584149557,0.987726360405647,mLN,1178.1990629689749,-0.027495536006734555,0.035585317525669916,0.1932032163050201,0.7220311810972068,spleen,None
Rgs20,0.24407556995176916,-1.3423277548900024e-4,0.12373634304598141,0.9808399715256557,NA,mLN,0.5295396642350316,0.003935063076785112,0.13261445351627632,0.6456626724087058,NA,spleen,None
Atp6v1h,256.91936612188846,-0.022254800444022758,0.049075763636762415,0.19267985601608004,0.8425661500364178,mLN,390.0562693006598,0.024191104832867655,0.04553801970920922,0.270873188014367,0.7934656307672913,spleen,None
Rb1cc1,388.23573102955953,0.010353141571533832,0.037019246594429435,0.4877085737571638,0.9661668018452263,mLN,648.3729810770703,0.004349703368892806,0.034969782472099385,0.8238052491478804,0.9734220751543547,spleen,None
4732440D04Rik,19.601567695511974,0.009945998484376804,0.06979463544016262,0.45307816991903077,0.9568099184275318,mLN,32.009253660210376,-0.024601692844179374,0.08440343225028957,0.23893203304086197,0.7707706948169583,spleen,None
St18,0.16709639589948233,-0.001182206314170003,0.13028628056711902,0.7901922800455712,NA,mLN,0.41130968636078574,0.005839237964860699,0.14223895064700634,0.43617468577018426,NA,spleen,None
Pcmtd1,239.1826959324841,-0.018097562115566488,0.044620622488570336,0.2629132178040127,0.8861152853967393,mLN,406.53299905906937,-0.0062751830773098765,0.03824422731726936,0.7519183839299846,0.9669690879217676,spleen,None
Gm26901,10.266376480573586,0.0194778495748229,0.0983831450594219,0.1800335014926709,0.8212152890154301,mLN,16.35247193726621,0.1046805955684362,0.22022049203767016,0.016042595084262267,0.22881806672816182,spleen,None
Gm30414,5.111304055503549,0.017516864591131942,0.11735243761886996,0.1688912589878229,NA,mLN,11.434258128547384,0.1161680470556219,0.25835318933639134,0.011525926468948722,0.18592417101697045,spleen,None
Sntg1,0.40383579977411677,-7.328178559368121e-4,0.118666866911231,0.9082361072303221,NA,mLN,0.8353779956378485,0.006102492128326891,0.12824291635974513,0.5433225298792179,NA,spleen,None
Rrs1,116.52292592066436,0.00657148048218691,0.04849407722173339,0.6373692292526802,0.9809758383188998,mLN,177.2678551039536,0.008737023453783367,0.04872867444844933,0.6604552435252127,0.9484516833243015,spleen,None
Adhfe1,0.7088561595051228,3.7540246573994986e-4,0.11224429456130046,0.9578981155828153,NA,mLN,0.7691876978854426,-0.004868263970363717,0.12745095383329433,0.617628742262349,NA,spleen,None
2610203C22Rik,0.15509936423832033,-9.971309395533363e-4,0.1293710422061377,0.8288037660675939,NA,mLN,0.2051813282509499,0.0026099226079529464,0.1432219811796182,0.6474053043870002,NA,spleen,None
Mybl1,4.42250763517133,-0.0018676925604025265,0.08325019829324996,0.8552814427521425,NA,mLN,10.674718428483462,0.024744726843610287,0.1119486056758898,0.2056570237431999,0.7357274302579475,spleen,None
Vcpip1,210.81108613633324,-0.003910889689297173,0.03887367609237201,0.7808845306622318,0.9829062137729896,mLN,354.69072735721477,-0.08640348426238058,0.07962611152277387,0.014435055916057236,0.21493956885997312,spleen,None
1700034P13Rik,5.7235163124164075,0.003993205815647929,0.08145573892231923,0.7095709783672779,NA,mLN,8.734436870081517,-0.05302370444583341,0.18266807969734444,0.044596041963862215,0.40585726249947734,spleen,None
Sgk3,29.87653035926542,-0.004374763490058868,0.06397058319877244,0.7284004378361988,0.9824751836750419,mLN,51.29482337218,0.01565052514878715,0.07015473378375252,0.4175600846523304,0.8791819862449534,spleen,None
Mcmdc2,0.6302105836266552,0.0033529727670957017,0.11381963210021166,0.6509408285327163,NA,mLN,0.798457773923011,0.008958015587104217,0.13751981795493617,0.36493194845809707,NA,spleen,None
Snhg6,403.96136792531627,-0.010515021795610766,0.03546111773170031,0.48365336598718167,0.9637710891945687,mLN,584.5196498332681,0.005430515120817072,0.03519351290949673,0.7816167457706253,0.9702947003016358,spleen,None
Ppp1r42,0.2700898673215639,-0.0019686096900008395,0.12515226009823266,0.7260070094937467,NA,mLN,0.22565120242852701,-0.0012054711965227892,0.14203494850374296,0.8315289290078358,NA,spleen,None
Cops5,329.90410398986427,0.0052034746449490625,0.035438945218699586,0.7177118874737751,0.982401414613206,mLN,497.7091927177638,-1.7950227499442174e-4,0.03812726469503941,0.9927303205798639,0.9992576446184523,spleen,None
