genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.6468137173208642,-0.013949269419817136,0.19209981360315043,0.4659318409256234,NA,CD62Lneg,0.260163029343184,8.749162526896049e-4,0.16830346782388655,0.93217437878384235,NA,CD62Lpos,None
Mrpl15,521.4428188339444,-0.025427752014410207,0.04665364678394655,0.46510245201190287,0.8077483666932603,CD62Lneg,451.61304391622025,0.003954134203454457,0.043553233154247216,0.877004659719486,0.9896998827615511,CD62Lpos,None
Lypla1,620.931580931983,0.0654143074545593,0.05282052426258205,0.07980521409761722,0.3630614959562204,CD62Lneg,506.80749785546885,-0.007444743061672355,0.042758403391323085,0.769599664945579,0.9757968586033131,CD62Lpos,None
Tcea1,1072.9798104111583,-0.07462773134924777,0.03971691972648147,0.021088111318880644,0.16001169867910933,CD62Lneg,808.2132875805574,-0.06081346588534149,0.04705187362311392,0.045573522181623465,0.3462089693923836,CD62Lpos,None
Rgs20,0.1484235582790562,-0.0012664197596968317,0.20828781963820903,0.9113178561447657,NA,CD62Lneg,0.5385270137512158,-0.014380495653784247,0.17486100139801208,0.3140686079935031,NA,CD62Lpos,None
Atp6v1h,352.9578453121733,-0.00411088113607969,0.054328287500074776,0.9088843383769355,0.9797441183761711,CD62Lneg,290.37329685125053,0.028361004591767356,0.05257809017075788,0.31716762818093536,0.815068340487792,CD62Lpos,None
Rb1cc1,590.8264566738071,-0.04596964868348415,0.04900253820207757,0.1990009571379814,0.5839819363666889,CD62Lneg,438.20033022542816,0.0021965225755644483,0.04053300935951176,0.9292643797838761,0.9923009122472564,CD62Lpos,None
4732440D04Rik,28.20429592101645,-0.0481011623817736,0.11212659463009643,0.19454309523348404,0.5794361246380403,CD62Lneg,23.573422864080815,8.188310246736268e-4,0.07677465501991053,0.970864271005234,0.9964002398753972,CD62Lpos,None
St18,0.46809420228994747,-0.011032736637585151,0.20837347174125062,0.45099067954297356,NA,CD62Lneg,0.11759452630420543,5.35634706928867e-4,0.175764516360279,0.9473465216782777,NA,CD62Lpos,None
Pcmtd1,369.60772108620625,-0.0698649657065421,0.060047924426866864,0.07494210538237708,0.35126940092139175,CD62Lneg,271.3091852738036,-0.10220698991466416,0.07435047765090973,0.011256455609964498,0.14468458130540462,CD62Lpos,None
