genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.28437183866439986,-0.0037683024248481487,0.24287852834208454,0.8661834291701652,NA,mLN,0.5911046494087008,-0.006194642248491482,0.15578032895570948,0.6378993868514512,NA,spleen,None
Mrpl15,392.8589642755782,-0.036156153297399664,0.055899686781179014,0.41883092873890443,0.7751862936667769,mLN,588.0579601167128,-0.01250504393668845,0.04224021762556287,0.6501992725440133,0.9235047599267838,spleen,None
Lypla1,428.0857609745664,0.03153071010901887,0.05964862343454771,0.4949254553363773,0.8220966157968551,mLN,710.4680344412328,0.035212543680591665,0.04463302874254617,0.2280047745258639,0.6539805052751557,spleen,None
Tcea1,715.8649010365718,-0.0753898933788053,0.046274517729118815,0.057815795332122,0.27351966393284666,mLN,1178.1990629689749,-0.050949631900355376,0.04073318932974083,0.07694061880007079,0.39564505905101977,spleen,None
Rgs20,0.24407556995176916,-0.01535693148540878,0.2543772215885001,0.4923071709947053,NA,mLN,0.5295396642350316,-0.004915460081587019,0.1582853837096717,0.6859481658536302,NA,spleen,None
Atp6v1h,256.91936612188846,-0.02113728270204231,0.06574745929565974,0.6596272644860286,0.8970721007703224,mLN,390.0562693006598,0.022334338306792656,0.04726720592606689,0.44350777008603043,0.8273716999182266,spleen,None
Rb1cc1,388.23573102955953,-0.04598695288397766,0.06179040834285861,0.3287065629277534,0.7021668220160284,mLN,648.3729810770703,-4.97252124999922e-4,0.038904347653589376,0.9849381888195818,0.9970164949672684,spleen,None
4732440D04Rik,19.601567695511974,-0.0020875246068866953,0.1155991194011228,0.9629546260480691,0.9892056345487736,mLN,32.009253660210376,-0.03641529449851718,0.09427243247024257,0.22575463677953936,0.6505611914728711,spleen,None
St18,0.16709639589948233,-0.009706188685922082,0.26119418707922537,0.5796664747965456,NA,mLN,0.41130968636078574,9.27743672748549e-6,0.1621844550925516,0.9992776401050131,NA,spleen,None
Pcmtd1,239.1826959324841,-0.16210893444906058,0.08352806233754916,0.0047625429407467884,0.044865986470806044,mLN,406.53299905906937,-0.046533291999332434,0.050736355035155487,0.14000687727896363,0.5292757725878748,spleen,mLN
Gm26901,10.266376480573586,0.029131292155882654,0.14122045757398788,0.514183870529338,0.8329061708227685,mLN,16.35247193726621,-0.022712031668280255,0.10268349376917967,0.3823040273007875,0.7923304642456196,spleen,None
Gm30414,5.111304055503549,0.046200136484011195,0.19388238745952008,0.29564145533056413,0.6715646347612099,mLN,11.434258128547384,-0.009870467807107862,0.10081828521750599,0.6718330345647501,0.9310573115642936,spleen,None
Sntg1,0.40383579977411677,-0.015003613689235341,0.2422926559680953,0.5552693137474478,NA,mLN,0.8353779956378485,-0.006002085474076585,0.1516864816061123,0.6691190115719652,NA,spleen,None
Rrs1,116.52292592066436,-0.02954405817621014,0.08837211639274302,0.5558062208333422,0.8528358219713282,mLN,177.2678551039536,-0.052289792279766,0.07027914265382779,0.12145425269390397,0.49399275229328105,spleen,None
Adhfe1,0.7088561595051228,6.453647883642134e-4,0.21690442171635463,0.9821003796919233,NA,mLN,0.7691876978854426,0.00795401100105359,0.14796339621979693,0.6054821482252212,NA,spleen,None
2610203C22Rik,0.15509936423832033,-0.009425677578012112,0.2592474855711435,0.6039694868021315,NA,mLN,0.2051813282509499,0.0016808231835662327,0.1692841385685168,0.8351518148504431,NA,spleen,None
Mybl1,4.42250763517133,-0.03630802769388768,0.17701902595051588,0.3977470678889303,0.7617428935499152,mLN,10.674718428483462,-0.07359206214092277,0.19745425544046552,0.051277237687785165,0.3201007343111223,spleen,None
Vcpip1,210.81108613633324,0.022873242559384967,0.06862946271935379,0.638321728240973,0.889746520555631,mLN,354.69072735721477,0.007991702096110824,0.046446589350051255,0.7787068610547861,0.9581966287412217,spleen,None
1700034P13Rik,5.7235163124164075,0.017273109150748346,0.15271680400578055,0.6770396478025875,0.9044035092190206,mLN,8.734436870081517,-0.007750039157734895,0.10076034142062135,0.7360405331521986,0.9498064252779487,spleen,None
Sgk3,29.87653035926542,-0.13190630644884774,0.2037274525782852,0.05347817853738904,0.261600781345721,mLN,51.29482337218,-0.1216508433209468,0.17451498577053523,0.020467458924908775,0.19093323950247612,spleen,None
Mcmdc2,0.6302105836266552,-0.02697202370891816,0.24554713511941953,0.3647392517040528,NA,mLN,0.798457773923011,0.01259056263102371,0.16131451152808315,0.38923519597232054,NA,spleen,None
Snhg6,403.96136792531627,0.07732266592545423,0.058542979759796776,0.09359341918114841,0.36900519228597845,mLN,584.5196498332681,0.018720526504841517,0.04072593390659911,0.49157689384182657,0.8550949571955457,spleen,None
