genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.7086246984089791,-0.0074623253526309476,0.14049443845051537,0.49477874880439926,NA,CD62Lneg,0.3262403241798588,-4.114475827833218e-4,0.09889185772553215,0.9119879222970667,NA,CD62Lpos,None
Mrpl15,640.0282406389715,-0.011241922553057643,0.037326651929352736,0.6377612280218903,0.9199929251595762,CD62Lneg,570.3463485921549,0.0016758209089602991,0.020117840433520443,0.7732497149549077,0.9997821032151102,CD62Lpos,None
Lypla1,767.2344737322362,0.04639178801003951,0.04598647973117247,0.08245230036903062,0.46298379765832776,CD62Lneg,628.0859740755587,-0.004612976873524148,0.02342930622191726,0.47783606903226444,0.9997821032151102,CD62Lpos,None
Tcea1,1336.0479437878607,-0.02888274601338159,0.03249509851151463,0.22231555490749294,0.6861713348293532,CD62Lneg,1019.7510517640383,-0.008501889500829534,0.02571840045232336,0.21544896386592596,0.9805399820989181,CD62Lpos,None
Rgs20,0.26322164821226157,-7.542733943888444e-4,0.14249392617691098,0.9262435135697425,NA,CD62Lneg,0.5865886646076789,-0.007180465504058286,0.10866522362220071,0.1841491826882114,NA,CD62Lpos,None
Atp6v1h,435.5743975645914,-0.0023661851059488623,0.04195190508702022,0.9193207083039376,0.9855863251109159,CD62Lneg,360.1611932061193,0.006805009359392127,0.02887905425791035,0.3814738702025008,0.9997821032151102,CD62Lpos,None
Rb1cc1,733.0944223406079,-0.0024924009196982365,0.035892936704839784,0.9162531098571975,0.9855863251109159,CD62Lneg,553.7505711970954,0.0013052391938978853,0.018492129305596988,0.8082990319903836,0.9997821032151102,CD62Lpos,None
4732440D04Rik,35.33553477665808,-0.030157978751076387,0.0899665870383552,0.21733384310123993,0.6803353429685202,CD62Lneg,29.4410001426762,-4.8726028556656404e-6,0.045357706205016377,0.9995444614527793,0.9999574003641112,CD62Lpos,None
St18,0.578394895994242,-0.005059313938140141,0.14262917136349798,0.5833212640721375,NA,CD62Lneg,0.1387983574442844,1.6164817107349705e-4,0.10110784470161858,0.9577000262082104,NA,CD62Lpos,None
Pcmtd1,460.97557222525063,-0.022708197066262824,0.044080030410802,0.35127363633875586,0.7945730234499114,CD62Lneg,345.1440232690275,-0.019538810507404927,0.045560094887404215,0.10690710818699167,0.805688177880878,CD62Lpos,None
Gm26901,12.773193195124788,0.00571519891037523,0.08831586406243132,0.7608584954921093,0.9513853340823496,CD62Lneg,20.736631125495055,0.006800952942309045,0.05964098925209991,0.45761586835724755,0.9997821032151102,CD62Lpos,None
Gm30414,6.437519512718247,0.0039010469137740252,0.09782571563039107,0.8236694382595903,0.9643127644729397,CD62Lneg,13.339895931174567,0.005606161727712193,0.06123691020686332,0.5253554177453464,0.9997821032151102,CD62Lpos,None
Sntg1,0.7901079128404064,0.0016949856506739843,0.133741438667263,0.8784405849098432,NA,CD62Lneg,0.5309084200834765,-0.0036201835593254773,0.09829338235152855,0.4703957288027555,NA,CD62Lpos,None
Rrs1,184.95896612118375,-0.01341578602515022,0.04970147268939465,0.5563519731781008,0.8951793389115552,CD62Lneg,181.52578849206026,-0.009907328734366446,0.04100198365191457,0.3069565784957752,0.9997821032151102,CD62Lpos,None
Adhfe1,1.0563078521114881,0.002115422217559015,0.12380283814299085,0.874377674616935,NA,CD62Lneg,0.7930672339484234,0.0045876525344410455,0.097354194569007,0.4214466580511764,NA,CD62Lpos,None
2610203C22Rik,0.02479056902731648,-3.1680950362280533e-4,0.1487494741064319,0.9564697900207696,NA,CD62Lneg,0.36175003450358106,-0.001017217258663058,0.09653316599324227,0.8190821692303656,NA,CD62Lpos,None
Mybl1,6.577622436864077,-0.04704137954701924,0.16471373173132223,0.07892556816811123,0.4530672642655785,CD62Lneg,10.038729654206422,-0.011214472010443162,0.0839837477935619,0.24698284236250267,0.9997821032151102,CD62Lpos,None
Vcpip1,394.36496614286347,0.031143786442555957,0.043778237741427126,0.21563308563735778,0.6773662291414234,CD62Lneg,316.9578062724073,-0.001575191745083401,0.025934921181018297,0.8261491841080542,0.9997821032151102,CD62Lpos,None
1700034P13Rik,10.561941789781013,-0.005073034936965053,0.08913899920553509,0.7853063245546563,0.9556328026019445,CD62Lneg,7.754429299974137,-0.0010388950387892268,0.06124615430281509,0.8985359939633506,0.9997821032151102,CD62Lpos,None
Sgk3,29.278295544558212,-0.024773802591670155,0.09776860584385345,0.27407776456052113,0.7338624256690589,CD62Lneg,73.24371994388375,-0.027287935148007255,0.07986212636638784,0.07419387805277225,0.7201928680738814,CD62Lpos,None
Mcmdc2,0.2915137362009966,-1.7950585022040268e-4,0.14632931157026877,0.9784289847952802,NA,CD62Lneg,1.131255353364841,3.308740269682685e-4,0.08790922324939479,0.9560996650124999,NA,CD62Lpos,None
Snhg6,657.3810662671061,0.045229547773905227,0.04125711471855414,0.08201355715792415,0.46216490904460966,CD62Lneg,560.5894989095382,0.014462041656206997,0.03676133159848659,0.14542810234764542,0.8978695071233911,CD62Lpos,None
Ppp1r42,0.24722106522096574,0.001216078486904452,0.14452522984661717,0.8697283602977967,NA,CD62Lneg,0.28818172023494654,-0.00286645833988813,0.10371927348073103,0.3962888784173159,NA,CD62Lpos,None
Cops5,544.3631687853541,0.0010393705965044586,0.038614788759485076,0.9649858495744013,0.9929113769602556,CD62Lneg,468.0532835594202,0.00893295169024292,0.03193622527444194,0.2919985282150714,0.9997821032151102,CD62Lpos,None
Cspp1,215.53697685307378,-0.021341813763634483,0.049843713768804206,0.3699251578281039,0.8085182949251205,CD62Lneg,181.99094922691575,-0.002513818280073786,0.030750276045731138,0.7511984760756824,0.9997821032151102,CD62Lpos,None
Arfgef1,458.5672226774408,-0.0026314646638249195,0.042459189265714146,0.9100506547644863,0.984642902945801,CD62Lneg,341.27665426035855,3.855905878624047e-5,0.022837132310161094,0.9952917726945946,0.9999574003641112,CD62Lpos,None
Cpa6,0.41064143265243647,-0.0016528804967988866,0.14115455070958738,0.8501358909055211,NA,CD62Lneg,0.056780884135049954,-8.146090095385709e-4,0.1026173007971208,0.7666260574396353,NA,CD62Lpos,None
Prex2,0.9793687406459165,-0.0038826366821327926,0.1365560879638841,0.7168515092005195,NA,CD62Lneg,0.2910274299720263,0.0019951064974332243,0.09937408116269067,0.6173988443496261,NA,CD62Lpos,None
A830018L16Rik,0.22138351914556167,-0.0028886356299743054,0.1489787339510428,0.6453659660270135,NA,CD62Lneg,0.3404607620695601,-0.00375586523990971,0.1034977563556441,0.3406554711115973,NA,CD62Lpos,None
Sulf1,0.42841960475747554,4.425949329399969e-4,0.13856777537763068,0.9629835911637451,NA,CD62Lneg,0.21821272323643806,-0.0015168133330446339,0.10356587075456701,0.5845028054297072,NA,CD62Lpos,None
Slco5a1,0.7136806459704984,-0.011823568318060364,0.14803279708709413,0.30000215677471637,NA,CD62Lneg,0.319354842378247,4.202442364009516e-4,0.09773584529207918,0.9173786083911348,NA,CD62Lpos,None
Ncoa2,760.4726045930703,-0.018470572588406287,0.03750803650641941,0.4439449204921871,0.8449901355465061,CD62Lneg,536.7284037768815,0.0010022427088416817,0.021074798633970535,0.8694486035690112,0.9997821032151102,CD62Lpos,None
Gm29570,0.6514705195321517,0.010925623743987858,0.14652465236256987,0.3304637328010248,NA,CD62Lneg,0.3871167947015344,0.0017051182751820864,0.09620006714472779,0.7160973428861842,NA,CD62Lpos,None
Tram1,1445.9739167160837,0.03779256179578653,0.034967928061440036,0.12264441337306752,0.5517079688978783,CD62Lneg,1047.0450919908942,0.005317179273246442,0.0203850059823169,0.3275534904551423,0.9997821032151102,CD62Lpos,None
Lactb2,173.95206066725427,0.03557953144207785,0.06516029563788082,0.1671419859988074,0.6210789281407814,CD62Lneg,140.60427284081226,0.012657242828452597,0.045001869811234316,0.22809811946329825,0.9952993361457299,CD62Lpos,None
Gm9947,0.21632425485707832,0.0034677485039859655,0.14705046126559898,0.6245464462523793,NA,CD62Lneg,0.10910636161821903,-8.146090095385709e-4,0.1026173007971208,0.7666260574396353,NA,CD62Lpos,None
Msc,0.7038160320837455,0.00593280092360928,0.14258828137558582,0.5371028600905239,NA,CD62Lneg,0.28549228185459613,-0.00216979789469719,0.10243787464361943,0.5096528480819874,NA,CD62Lpos,None
