genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,tibble_id,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,tibble_id_ref,significance
Xkr4,0.35601092939324486,-0.003900608491853812,0.1742257114628493,0.7432109827243399,NA,mLN,0.6726444479850173,-0.002809692362377149,0.10351656316373672,0.6421549360410366,NA,spleen,none
Mrpl15,472.6912788274026,-0.022843861038232556,0.045307274212768894,0.47819345489485987,0.8519235136767702,mLN,744.0372066685715,-0.001200050891895891,0.024576768193836203,0.9068066080099877,0.9949109138116653,spleen,none
Lypla1,511.40286957151375,0.01520590583722059,0.04676042467862193,0.6380368802409566,0.9118677806627964,mLN,893.2495071233845,0.010755935987951808,0.02887555555332972,0.351159216896552,0.854418515123402,spleen,none
Tcea1,869.3726471361184,-0.03384781485539739,0.03856677748607588,0.2645289619775819,0.70447686498861,mLN,1497.7728944315713,-0.009134853821345433,0.024226542286844774,0.39293494394695555,0.8783686190276452,spleen,none
Rgs20,0.2786988055107634,-0.010057271655093339,0.180260811285311,0.38938940142096995,NA,mLN,0.6305280913355737,-0.002437488199226198,0.1033118172859679,0.6841151607835927,NA,spleen,none
Atp6v1h,309.0193303344211,-0.02088693016833625,0.052605217404920794,0.5255865950873618,0.8710410372063018,mLN,489.86246812374657,0.010229061016810826,0.031012395940961935,0.38085388416957733,0.8741057412951901,spleen,none
Rb1cc1,477.27655767644455,-0.001737884958497888,0.04737163152771131,0.9570470694724978,0.9939325724941496,mLN,818.1575541980084,0.005253975669857021,0.02477709435386459,0.6154203590087858,0.9583551370451221,spleen,none
4732440D04Rik,23.24483630708234,-7.356025065039052e-5,0.08711381473193959,0.9978648629997972,0.9995084341560478,mLN,41.25531732334083,-0.020576348484652493,0.0721549405756054,0.21598742910287622,0.7528312347970822,spleen,none
St18,0.3424090854002821,-0.006612897046720393,0.17634784675205087,0.574863063288507,NA,mLN,0.3955577146863644,5.493353044862681e-4,0.10682435941672813,0.8978186983680395,NA,spleen,none
Pcmtd1,294.0699488949311,-0.06304840886878671,0.06804205556063715,0.08932050388882792,0.43356538920222387,mLN,515.8338479089067,-0.007702939363363883,0.027876250431019968,0.4858073292644275,0.9174734600822028,spleen,none
Gm26901,13.048634592058956,0.022816111531965912,0.11174346261651738,0.42291607651309765,0.8287429600981046,mLN,20.787487776546445,7.358766382509574e-4,0.06357331966273626,0.9545668786708701,0.9982150659659597,spleen,none
Gm30414,6.1913529275518515,0.021084884816608196,0.1420204273013446,0.40226678408775995,0.8205752986663465,mLN,14.295264355148264,-0.003390658455150375,0.07117978617980382,0.787904880818932,0.9839803036630673,spleen,none
Sntg1,0.4706222616894327,-0.005626092623014402,0.17196522909716044,0.6762123250001747,NA,mLN,0.8945856576043991,-7.100469247097766e-4,0.10018079074939479,0.9159387736021827,NA,spleen,none
Rrs1,141.33012313293074,-0.02184767863595468,0.06809792775792313,0.49191253211299446,0.8564724978663847,mLN,226.36198909568432,-0.021893103450804568,0.051545189163939055,0.15851717595370776,0.6845221294448777,spleen,none
Adhfe1,0.8073019500142748,0.002736237544344925,0.15951950966936174,0.872975438776453,NA,mLN,1.0208195774040851,0.004492394611931755,0.1007230328365348,0.5532202602739971,NA,spleen,none
2610203C22Rik,0.18627966556982734,-0.006039866807382151,0.18012979402724832,0.5110796808552021,NA,mLN,0.2437886719800518,0.0015811608390812924,0.1083574138972479,0.6942669925482208,NA,spleen,none
