genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ifngr1,6.193370532457385e-264,-2.1484669395861182,0.294,0.664,8.964903845732066e-260
Gm42031,6.697595311668641e-97,2.885352663824243,0.2,0.035,9.694769213640357e-93
Nkg7,6.153478938566034e-70,-1.1601461726930886,0.128,0.307,8.907160763574334e-66
Cxcr3,2.722456143523285e-66,-0.8361783554429159,0.323,0.532,3.940755267749955e-62
Igtp,7.13168518591998e-66,-0.9896410808965794,0.298,0.491,1.0323114306619171e-61
Il16,9.33991076911171e-65,-0.9188289818762555,0.289,0.481,1.35195208382892e-60
Psmb9,7.518819590018576e-61,-0.544134406791349,0.626,0.775,1.0883491356551888e-56
Iigp1,1.7649398796120787e-58,-1.0291947854785921,0.178,0.352,2.554750475738484e-54
Stat1,1.6842843394548358e-57,-0.5485328877934881,0.655,0.798,2.4380015813608746e-53
Klrg1,4.5098191259099745e-55,1.602386848140373,0.238,0.098,6.527963184754688e-51
Ly6c2,9.191008416610575e-52,-1.904840044601318,0.049,0.164,1.3303984683043809e-47
Gm4951,1.2656683774683345e-50,-2.5702839161282953,0.02,0.111,1.8320549763854142e-46
Ly6a,6.539623823510379e-45,-0.34696935697586184,0.798,0.921,9.466105484531273e-41
AW112010,1.4465870404238122e-42,-0.34032865475521934,0.916,0.954,2.093934741013468e-38
B2m,1.3880281101054801e-39,-0.19895949020219028,0.998,0.998,2.0091706893776824e-35
Ltb4r1,2.9919400614731472e-37,3.0493550624300956,0.084,0.016,4.330833238982381e-33
Ms4a6b,3.810450809107247e-36,-0.4366845527802554,0.676,0.785,5.51562754618274e-32
H2afz,7.093582289462902e-35,0.48411957604432354,0.887,0.843,1.0267960363997551e-30
Ifi47,1.199447336116352e-33,-0.5413427017834074,0.49,0.622,1.7362000190284194e-29
Serpina3g,1.2819926011880898e-33,-0.6124711581638254,0.288,0.432,1.85568429021976e-29
Il1rl1,1.9530182334025353e-32,1.7439452959327877,0.104,0.031,2.82699389285017e-28
Ms4a4b,2.0755158302458212e-32,-0.37971333345672753,0.789,0.865,3.004309164280826e-28
Il2rb,2.044624625496553e-31,-0.40793713529105824,0.643,0.747,2.9595941454062606e-27
Irf1,3.4170905415694543e-31,-0.570359150257798,0.379,0.511,4.946238558921785e-27
F830016B08Rik,2.5937630326316803e-30,-1.933648182698633,0.023,0.088,3.754471989734357e-26
Gpx4,2.6540589728874335e-29,0.3880699021358367,0.779,0.706,3.84175036325456e-25
Gimap4,5.0157908371859676e-29,-0.351295292186358,0.713,0.802,7.260357236826688e-25
Nav2,8.699546298435253e-29,1.2566191890823175,0.144,0.061,1.2592593266985029e-24
Psme2,3.684891692221836e-28,-0.32919956917345206,0.754,0.855,5.333880724491107e-24
Junb,1.1571496794725642e-27,0.4153731324046285,0.785,0.701,1.6749741610365368e-23
Gbp6,3.4332806882337605e-26,-0.5948976277001073,0.233,0.35,4.969673796218368e-22
Nebl,9.516193645427114e-26,2.467654793396727,0.058,0.011,1.3774690301755747e-21
Tap1,1.4580380384509307e-25,-0.40132050920916623,0.518,0.632,2.1105100606577223e-21
Gm49980,1.0273604230849872e-24,1.7253359647363138,0.079,0.023,1.487104212415519e-20
Nfkbia,2.039638441105272e-24,0.6758255270455437,0.683,0.611,2.952376643499881e-20
Zfand6,3.73316912535121e-24,-0.7169561411477376,0.191,0.295,5.403762308945876e-20
Zbp1,6.918469942151558e-24,-0.5392813520856978,0.378,0.486,1.001448524126438e-19
H2-T22,2.0577186129243503e-23,-0.30291433099901144,0.696,0.792,2.978547692207997e-19
2410006H16Rik,4.6977082979810936e-23,-0.4831198189858915,0.603,0.677,6.799932761327633e-19
Dtx1,8.464918199781757e-23,-1.1128567290888265,0.073,0.149,1.2252969094184093e-18
Gbp10,9.193509778856518e-23,-1.145675354286955,0.059,0.13,1.3307605404894811e-18
Psme1,1.2291614315762237e-22,-0.2719515753722803,0.801,0.869,1.779211172206584e-18
Ctsw,3.4467611747704158e-22,-0.7543502115084313,0.142,0.236,4.9891868004801764e-18
H2-T23,3.650725953315116e-21,-0.2631846032397327,0.847,0.9,5.2844258174236306e-17
Tox2,2.4748067898046996e-20,1.2611178850374247,0.103,0.044,3.582282828242303e-16
Ctsd,3.0055370575314396e-20,-0.4508883558317055,0.34,0.448,4.350514890776759e-16
Zfp36l1,3.224267775512543e-20,0.3722717476353455,0.671,0.582,4.667127605054406e-16
Igkc,4.1176871438344526e-20,-0.9960533889090257,0.069,0.137,5.96035214070037e-16
Gm4841,8.01168716131019e-20,-1.4693095250477466,0.031,0.083,1.15969171659965e-15
Ptpn18,2.6573987713981866e-19,-0.22453479005959798,0.904,0.936,3.846584721598875e-15
Gm46620,3.003864279916918e-19,2.004046076432176,0.055,0.015,4.348093545179739e-15
Ahnak,3.703258160805179e-19,0.4982303662990202,0.479,0.381,5.360466187765497e-15
Batf,6.01825739059017e-19,0.5580913230724748,0.466,0.367,8.711427572879271e-15
Gpr18,6.0456604529876475e-19,-0.9548104119864993,0.072,0.14,8.75109350569962e-15
Gata3,7.008479902886939e-19,0.8253085718528752,0.281,0.195,1.0144774659428844e-14
Gimap7,9.56758716269524e-19,-0.298964608261886,0.646,0.735,1.384908241800136e-14
Sdc4,1.1394733065427588e-18,1.2727736360036808,0.113,0.053,1.6493876112206433e-14
Ifi27l2a,1.6454300718745e-18,-0.23114835438345516,0.996,0.996,2.3817600290383387e-14
Adam8,2.1136728358172963e-18,1.4264631060766177,0.09,0.037,3.0595414298455365e-14
Cd83,2.2574923009668957e-18,0.886102560922714,0.198,0.121,3.267720105649581e-14
Inpp5f,3.878455579768389e-18,-0.8085957270959914,0.112,0.187,5.6140644517147433e-14
Cd81,7.033272772470681e-18,0.535475507704009,0.477,0.385,1.0180662338151311e-13
Cd82,1.012020508901497e-17,0.410476136585624,0.716,0.663,1.464899686634917e-13
Rpl22l1,1.304834435677964e-17,0.2570516150741571,0.865,0.823,1.8887478456438528e-13
Ppp1r14b,1.6410793399592904e-17,0.5281648081214879,0.365,0.274,2.375462344591073e-13
Gm43305,2.1462427168243966e-17,0.719062535698396,0.213,0.134,3.106686332603314e-13
Gm50237,2.2427216608348932e-17,-3.7510750794755703,0.002,0.027,3.246339604058508e-13
Zrsr1,2.5235075339678314e-17,-1.7068034247868473,0.017,0.057,3.652777155418436e-13
Ftl1,2.8489371128710335e-17,0.21766546036449208,0.93,0.903,4.123836470880821e-13
Gm8369,3.052559258003803e-17,-0.28776223530632167,0.57,0.674,4.418579525960505e-13
Samhd1,3.7073970918649267e-17,-0.3522763737603931,0.676,0.739,5.366457290474481e-13
Il7r,3.8172490868339006e-17,0.43840177839830236,0.54,0.447,5.525468053192071e-13
Psmb8,8.317368771097886e-17,-0.18911068280181342,0.931,0.954,1.203939129616419e-12
Ly75,1.0534880228475326e-16,1.0758743145246155,0.114,0.057,1.5249239130718033e-12
Pparg,1.139410624752791e-16,3.51922024699647,0.026,0.002,1.6492968793296651e-12
Ccl5,2.118426551462541e-16,-0.2803418606713457,0.342,0.435,3.066422433242028e-12
Tgtp2,4.640335611128011e-16,-0.6360485761108592,0.17,0.251,6.716885797107796e-12
Epsti1,8.099198493708048e-16,-0.4236695448223238,0.425,0.505,1.17235898196424e-11
mt-Co2,8.608283771809278e-16,0.14137936872671375,0.995,0.989,1.246049075969393e-11
Ube2l6,1.329017353039266e-15,-0.6684987915137623,0.176,0.254,1.9237526185243375e-11
Tbx21,1.4189858948460285e-15,-1.1345147541008012,0.04,0.088,2.0539820827896263e-11
mt-Co3,2.694842652187399e-15,0.16497785113522134,0.98,0.971,3.90078473904126e-11
mt-Co1,2.892644979483974e-15,0.11998697108440703,1,0.998,4.187103607803052e-11
Gbp2,3.6756869139425116e-15,-0.7727847066900257,0.185,0.262,5.3205568079317855e-11
Il9r,3.777791366951257e-15,2.1269028242177095,0.037,0.008,5.468353003661944e-11
Mesd,7.681322561697064e-15,-1.0196012888228507,0.054,0.105,1.11187144080565e-10
Rps3a1,8.786298125034608e-15,0.1360979863488967,1,0.999,1.2718166535987596e-10
Tnfrsf25,1.5817681604996487e-14,0.712963684368308,0.174,0.109,2.2896094123232414e-10
Gzma,1.6198507232834124e-14,-2.228625481035181,0.013,0.045,2.3447339219527394e-10
Calhm6,1.6334674216857957e-14,-0.8454206205555548,0.083,0.143,2.3644440928901894e-10
Il12rb2,2.0011732772949633e-14,-3.3636138245491507,0.002,0.023,2.8966983188844596e-10
Cd2,2.146997097826599e-14,-0.20416630349995146,0.881,0.907,3.107778299104002e-10
Irgm1,2.203829611052739e-14,-0.43175070070917054,0.291,0.377,3.1900433619988396e-10
Serpina3f,2.2125836440721885e-14,-1.000958117658059,0.038,0.083,3.202714824794493e-10
Irf8,4.869153170737792e-14,-1.1313941644819407,0.048,0.096,7.048099214642953e-10
Il18r1,5.737951508246807e-14,-0.676811937890166,0.13,0.198,8.305684808187253e-10
Arl6ip1,7.597593211290327e-14,-0.295095283044305,0.706,0.766,1.0997516173342749e-9
Dgat2,8.604994193212308e-14,1.6734970332166959,0.056,0.021,1.2455729094674816e-9
Ifit1bl1,1.0190609684615575e-13,-0.5972697433965348,0.142,0.211,1.4750907518481045e-9
Npc2,1.0382359661008444e-13,-0.3105024880895889,0.599,0.666,1.5028465609309724e-9
Actg1,1.5642218286464108e-13,-0.1783296067463227,0.993,0.994,2.2642110969656797e-9
Gbp4,1.8989555090889609e-13,-0.42012097964650974,0.264,0.344,2.748738099406271e-9
Arl5c,2.014681369201584e-13,-0.5572875422783079,0.158,0.23,2.9162512819192928e-9
Cd3d,2.284074927169522e-13,-0.15077926898012195,0.951,0.968,3.306198457077883e-9
Ifi208,2.403030739317739e-13,-0.4491551118930165,0.256,0.34,3.4783869951624272e-9
Pglyrp1,2.589177496576005e-13,-0.25511207414743875,0.623,0.688,3.747834426293767e-9
Isg15,2.7504049017494245e-13,-0.43513355050153446,0.442,0.522,3.981211095282292e-9
H2-Q4,2.808462599885371e-13,-0.2853838984270192,0.564,0.638,4.065249613334075e-9
Irf7,3.1450386486727195e-13,-0.327142753777417,0.485,0.564,4.552443443953761e-9
Rln3,4.135061620601307e-13,0.5368939892007296,0.36,0.282,5.985501695820392e-9
N4bp2l1,5.422045534874718e-13,-0.8760996639438141,0.07,0.122,7.848410911731154e-9
Ifi213,5.65365024930628e-13,-0.4580596765034467,0.283,0.362,8.18365873587084e-9
Rps8,6.722404654257845e-13,0.12859373622124792,0.998,0.999,9.730680737038232e-9
Bst2,1.0817758969543235e-12,-0.2941937216559961,0.565,0.633,1.5658706108413832e-8
Dusp1,2.540989817211411e-12,0.4676465411492393,0.399,0.328,3.678082760413518e-8
Stard5,2.6071844554977347e-12,-0.9934401483740429,0.043,0.086,3.773899499332971e-8
Ubald2,2.9157590494330153e-12,-0.4073117901990678,0.317,0.394,4.2205612240542894e-8
Itgae,3.2567630949781386e-12,0.6564969385025423,0.227,0.161,4.714164579980855e-8
Dynlt1b,3.708384283469298e-12,1.0921134523633342,0.07,0.032,5.3678862503218095e-8
Zfas1,3.950066132230296e-12,-0.5134037351090388,0.213,0.283,5.7177207264033536e-8
Sp140,6.030250869903694e-12,-0.5386513762795244,0.154,0.22,8.728788134185597e-8
Slc25a19,7.775535283379953e-12,0.6512925128588987,0.201,0.14,1.1255087322692483e-7
Jund,1.3539682957818497e-11,0.21738382597777672,0.917,0.897,1.9598691081442275e-7
Hsd11b1,1.4130083920771036e-11,-0.5545537905558096,0.184,0.25,2.0453296475316073e-7
Hcst,1.4956808322925784e-11,-0.25107447652861536,0.674,0.721,2.1649980047435073e-7
Naa20,1.772365343722303e-11,-0.40235682929544625,0.279,0.353,2.565498835038034e-7
Fos,1.8101611342831338e-11,0.5217336027119825,0.236,0.171,2.6202082418748363e-7
Tpst2,2.3097272006820284e-11,-0.33857873138789296,0.342,0.419,3.343330122987236e-7
Ifngr2,2.7916514677684053e-11,1.3109858886566812,0.055,0.023,4.0409154995947665e-7
Saraf,3.5029096279282266e-11,-0.34376444551523566,0.37,0.444,5.070461686426108e-7
Rtp4,3.6797223688067016e-11,-0.29578162432941413,0.434,0.512,5.326398128847701e-7
Abhd17c,3.833134286303691e-11,-1.192321061741275,0.027,0.06,5.548461879424593e-7
Sh2d2a,4.1061651212664563e-11,-0.2761088550347583,0.419,0.499,5.943674013033195e-7
Mapk11,5.867772638385977e-11,1.0520675912951196,0.064,0.03,8.493600894063702e-7
Plaat3,6.413594731908614e-11,-0.2962736573579532,0.446,0.519,9.283678374437719e-7
H2-Q7,6.927544488370856e-11,-0.17151275058436877,0.876,0.92,1.0027620646916814e-6
Smchd1,7.288643904045323e-11,-0.4030875620951829,0.32,0.39,1.0550312051105605e-6
mt-Atp6,7.608485592232417e-11,0.12251646716067555,0.979,0.971,1.1013282894756424e-6
Abracl,1.0028394685673913e-10,-0.22148604620615187,0.619,0.687,1.4516101307512989e-6
Cenpa,1.0836186239937453e-10,-0.5322124329424482,0.177,0.241,1.5685379582309462e-6
Ltb,1.1552561455993208e-10,0.2609829923317295,0.928,0.919,1.6722332707550168e-6
Ctsh,1.4146903232609302e-10,1.5669443296264483,0.024,0.005,2.0477642429201965e-6
Glrx,1.5870618852377638e-10,-0.3589724627139579,0.436,0.503,2.297272078881663e-6
Gimap6,1.7191303935407994e-10,-0.20429473356413808,0.695,0.763,2.4884412446503073e-6
Emp3,1.849184368741969e-10,0.22332116363976628,0.689,0.624,2.6766943737540003e-6
Fam49a,1.9095316742047462e-10,-0.9934731926150655,0.044,0.082,2.76404709841137e-6
Hacd3,1.9312702534263247e-10,0.5226784213359204,0.24,0.177,2.795513691834605e-6
Anxa2,2.101942157094329e-10,-0.4771984068175905,0.237,0.303,3.0425612723940414e-6
Cd200r1,2.3095328921432368e-10,0.7507936911792843,0.143,0.093,3.343048861377335e-6
Tasp1,2.9249910428664726e-10,0.4972191120843341,0.209,0.15,4.233924534549219e-6
Tnfsf11,3.305356628065269e-10,0.9432541041561948,0.092,0.052,4.784503719124477e-6
Crlf2,3.575601263151931e-10,-0.3184952788431194,0.396,0.467,5.17568282841242e-6
Gm12216,3.6661307806124566e-10,-0.6677355358455705,0.094,0.144,5.306724304936531e-6
Ifit3,4.019449727998998e-10,-0.3746493105324251,0.184,0.249,5.81815348127855e-6
Selplg,4.032881532586034e-10,-0.16820426547807754,0.75,0.811,5.837596018418285e-6
Gzmb,6.355325219511893e-10,-0.45726090021573856,0.146,0.203,9.199333255243465e-6
Ifi214,6.758217014107055e-10,-0.5406222714506477,0.132,0.188,9.782519127919963e-6
Hars,7.520900558645675e-10,-0.5966733927213177,0.123,0.177,1.0886503558639614e-5
Tbxa2r,7.695748817127262e-10,-0.7142541798219173,0.064,0.107,1.1139596412791712e-5
AC149090.1,7.795142513659868e-10,0.4407804089010634,0.328,0.263,1.1283468788522658e-5
Xaf1,7.982615180725743e-10,-0.327400118414512,0.312,0.383,1.1554835474100513e-5
Igsf23,1.021858125965819e-9,-0.8576803263512742,0.055,0.094,1.4791396373355231e-5
Hadh,1.0398603972345004e-9,0.5344741665144019,0.227,0.169,1.5051979249969392e-5
Casp3,1.1749542989113516e-9,-0.359464788796688,0.25,0.317,1.7007463476741813e-5
Irf2bp2,1.5303387518794947e-9,0.41843294485208515,0.326,0.262,2.2151653433455685e-5
Btg1,1.6167942936036808e-9,0.20085770199352648,0.79,0.754,2.340309739991328e-5
Adgre5,1.7131456733885325e-9,-0.29527704395266474,0.316,0.386,2.4797783622299008e-5
Tmbim6,1.736271390553249e-9,-0.18750992602959604,0.732,0.776,2.513252837825828e-5
Tnfrsf4,1.8041102440698778e-9,0.19240853016402593,0.803,0.76,2.611449578291148e-5
Gpx1,1.8881236350629733e-9,0.3258978967660886,0.537,0.473,2.7330589617536538e-5
Gm15446,2.0900230675592816e-9,1.934257746275314,0.026,0.007,3.02530839029206e-5
Lztfl1,2.1696858944522577e-9,0.816233846745031,0.133,0.088,3.140620332219643e-5
Rps15a,2.2969085050584738e-09,-0.10626429766240442,1,0.999,3.324775061072141e-5
Gzmk,2.5597880609415883e-9,-1.2813561424300723,0.013,0.036,3.705293218212949e-5
Snx2,2.585297512843274e-9,-0.34579837945799663,0.339,0.403,3.7422181498406394e-5
Xrn2,2.602590442263245e-9,-0.31550484713836213,0.402,0.464,3.767249665176047e-5
Smco4,2.714090305260832e-9,0.4027470371028097,0.326,0.259,3.928645716865054e-5
Ebi3,3.3254590777738897e-9,0.4922200557848966,0.231,0.174,4.813602015077705e-5
Id2,3.750432629804492e-9,0.6266794649706691,0.271,0.218,5.4287512316420024e-5
Phf11b,4.001509808314199e-9,-0.34288566194039216,0.35,0.415,5.792185447534803e-5
Snx9,4.230470228668278e-9,-0.49181249648892855,0.142,0.196,6.123605655997333e-5
Cd3g,4.3552045896630116e-9,-0.13667833792405304,0.949,0.964,6.304158643537209e-5
H2-DMa,5.182576248855166e-9,-0.47049837228816904,0.177,0.233,7.501779120217853e-5
Ramp1,5.391914573828772e-9,0.58429503553091,0.198,0.146,7.804796345617147e-5
Rnf114,5.899991823901208e-9,-0.35340715048496496,0.329,0.39,8.540238165096999e-5
Slamf7,7.03219730290552e-9,-1.1173077073244295,0.018,0.042,1.017910559595574e-4
Sh3bgrl3,7.564940029699894e-9,0.14760040218734494,0.951,0.946,1.0950250692990597e-4
Cdk5rap1,8.120319139077317e-9,0.9625160063168274,0.072,0.039,1.1754161953814417e-4
H2-Q6,8.416289619973843e-9,-0.19136972966533294,0.576,0.649,1.2182579224912137e-4
Pou2f2,9.1405286634925e-9,0.37815331165613775,0.307,0.246,1.3230915240405395e-4
Gbp7,9.769868581605897e-9,-0.26699079497655387,0.363,0.43,1.4141884771874536e-4
Nrp1,1.0243008936851018e-8,0.45731307073787253,0.296,0.239,1.482675543609185e-4
Gimap3,1.3059601863226486e-8,-0.13652173679596924,0.829,0.877,1.890377369702034e-4
Ier5,1.3984195385745748e-8,0.3437714403018617,0.437,0.38,2.024212282086697e-4
Itm2c,1.5022002063881595e-8,0.24243573170846516,0.621,0.567,2.1744347987468607e-4
Sla,1.5051378299147617e-8,-0.2817881517283712,0.393,0.457,2.1786870088016176e-4
Ccr4,1.6986344586360822e-8,0.6404029623822414,0.112,0.072,2.458773378875729e-4
Rpl8,1.7844708668185608e-8,0.10453855777237431,0.998,0.997,2.583021579719867e-4
Chchd10,1.8894058015669662e-8,-0.5202717438231939,0.117,0.165,2.7349148977681833e-4
Hmgn2,1.9146284406235045e-8,-0.4788881668726711,0.351,0.409,2.771424667802523e-4
Ddit4,2.1356053472768246e-8,0.40735428312891264,0.353,0.296,3.091288740183204e-4
Ifi206,2.1947747011595796e-8,-0.4297247328002016,0.169,0.224,3.1769363799284917e-4
Cytip,2.3082515198367456e-8,-0.2125966244475322,0.562,0.63,3.341194074963689e-4
Tmem181a,2.3136188814108674e-8,0.624402483688526,0.126,0.084,3.3489633308422307e-4
Sept1,2.6797627632307375e-8,-0.16693589387171304,0.767,0.809,3.8789565997764927e-4
Sdcbp2,2.6876720258013707e-8,-0.4263595263096662,0.212,0.268,3.890405257347484e-4
Rnf157,2.723757233874977e-8,-0.7649911380871561,0.055,0.09,3.942638596034029e-4
Hbb-bs,2.869501473859657e-8,3.5937721593119187,0.033,0.012,4.1536033834118534e-4
Ddc,3.3761011622708686e-8,2.079170213433607,0.023,0.006,4.886906432387082e-4
Cd9,3.6677346714806494e-8,-0.5097402433424136,0.094,0.138,5.30904593696824e-4
Tap2,4.2188289577341233e-8,-0.21461459155381873,0.541,0.607,6.106754916320144e-4
Fus,4.415795753722411e-8,-0.19108989524624093,0.47,0.541,6.391864353513189e-4
Atp11b,4.46775200762893e-8,-0.38199807937500774,0.211,0.268,6.467071031042875e-4
Twf2,4.4756879348473536e-8,-0.34048763705242724,0.314,0.371,6.478558285691544e-4
Abcb1a,4.476874729002852e-8,-0.5369811611078603,0.111,0.156,6.480276170231628e-4
Gmfg,4.498408089780675e-8,-0.1946704023318263,0.654,0.704,6.511445709957527e-4
Tgtp1,4.666106152532121e-8,-0.9220232002936206,0.035,0.064,6.754188655790245e-4
9330175E14Rik,4.933505639162496e-8,-0.6701268670498259,0.059,0.095,7.141249412687713e-4
Crebl2,4.988911182871255e-8,0.7573243257339879,0.078,0.046,7.221448937206141e-4
C1qtnf6,5.040880071162625e-8,-0.7990021493094539,0.035,0.065,7.2966739030079e-4
Ier3,5.333047895903693e-8,2.216540036702386,0.02,0.005,7.719586829320595e-4
Slfn1,5.890258533340594e-8,-0.26807164781827214,0.492,0.543,8.526149227010509e-4
Plcb4,6.136180886441475e-8,0.7629885771769374,0.083,0.049,8.882121833124034e-4
Phf11c,6.398592129506602e-8,-0.46887898761721347,0.142,0.191,0.00092619621074608075
Maz,6.505657961544242e-8,0.3194648334949961,0.382,0.323,9.41693989933529e-4
Satb1,6.579473732678011e-8,-0.41059832279717723,0.17,0.223,9.523788228051421e-4
Clta,6.818821130371393e-8,-0.19971544073312972,0.604,0.655,9.870243586212592e-4
Gas5,7.331816966723914e-8,-0.23519882069852305,0.719,0.746,0.0010612805059332865
Igfbp7,7.376303597016278e-8,3.274460012631568,0.012,0.001,0.0010677199456681063
Laptm4a,7.494569851623817e-8,0.32600292429740463,0.392,0.336,0.0010848389860225475
mt-Nd5,8.351203399519377e-8,0.20508917757519052,0.655,0.606,0.0012088366920804299
Gm42418,8.603031917575446e-8,0.11651922481916621,1,1,0.0012452888700690457
Gm47283,9.141597016516866e-8,-2.012421135156594,0.004,0.018,0.0013232461681408163
Gm19705,1.0804469774457472e-7,-1.1633487943059349,0.019,0.041,0.001563946999852719
Oasl2,1.1084749298432386e-7,-0.5548787291911368,0.107,0.15,0.0016045174609480878
Cd3e,1.173892778670995e-7,-0.1196143099278113,0.957,0.965,0.001699209797126265
Slc15a2,1.1932153150782765e-7,-1.5411154162310048,0.009,0.025,0.0017271791685758054
Eomes,1.2276178183156853e-7,-1.7799877713908092,0.006,0.022,0.0017769767920119545
Plcl1,1.2602219217326704e-7,1.123318486868671,0.039,0.017,0.0018241712317080404
Clec2d,1.326275184477051e-7,0.25176690869593216,0.586,0.533,0.0019197833295305313
Gnas,1.4069381600217364e-7,-0.17600771421199224,0.762,0.795,0.0020365429866314633
Atp5mpl,1.425944092531774e-7,-0.2057948833814448,0.583,0.639,0.002064054073939743
Hmgb2,1.4820412057913938e-7,-0.44246542047352844,0.521,0.575,0.0021452546453830427
Gng12,1.4830119309113305e-7,-0.7693758962185147,0.054,0.087,0.002146659769994151
Dnajc15,1.4904517739010317e-7,-0.3344116316980197,0.272,0.329,0.0021574289427217434
Nck2,1.5281931104814464e-7,0.7152935127877487,0.089,0.056,0.0022120595274218936
Serf2,1.6336107162014826e-7,-0.10765825933144102,0.931,0.939,0.002364651511701646
Plcb3,1.8269912052945486e-7,0.8415006053554608,0.065,0.036,0.002644569769663859
Pdcd1,1.982687615610144e-7,0.4116596431676265,0.27,0.217,0.0028699403235956833
Ube2c,2.0750105256345582e-7,-0.6640799856768997,0.06,0.093,0.003003577735856023
Tmbim1,2.1661634851943142e-7,0.6542690235994297,0.1,0.065,0.0031355216448187696
Ifi209,2.252331290912512e-7,-0.33675691772481864,0.342,0.398,0.0032602495435958613
Trac,2.3365572865929654e-7,-0.20074667056113032,0.556,0.615,0.0033821666723433176
Cd86,2.5884686316382567e-7,-0.8269852509279789,0.041,0.07,0.0037468083442963765
Irgm2,2.6123158157933727e-7,-0.4781890173359016,0.091,0.132,0.003781327143360907
Pim1,2.6177500196424466e-7,0.2542618312020111,0.618,0.576,0.0037891931534324414
Ctla4,2.633675879472007e-7,-0.23212225778771875,0.489,0.547,0.0038122458355357306
Zfp36l2,2.736633934863784e-7,0.30039598088259756,0.439,0.387,0.003961277620715327
Slc25a5,3.349144496506165e-7,-0.18101841267577382,0.615,0.675,0.004847886658692674
Itga4,3.6243763803825054e-7,0.2766475718693314,0.514,0.461,0.0052462848106036766
Cd7,3.7400838927664565e-7,-0.5930330695491799,0.083,0.12,0.0054137714347794455
Trbv12-1,3.7683865721427946e-7,-0.4021174076642488,0.242,0.293,0.0054547395631766955
Psmb10,3.855664138912588e-7,-0.20607887890238596,0.484,0.542,0.005581073841075971
Rbm47,3.914193274010171e-7,-2.3105024880895897,0.002,0.014,0.005665794764129722
Nsmce1,4.043434129517042e-7,-0.3634066085934802,0.204,0.255,0.005852870902475918
Pomp,4.0797369737339524e-7,-0.21186155961004965,0.523,0.572,0.005905419269479896
Myo1e,4.1863974034769914e-7,0.4834189908886928,0.164,0.12,0.006059810241532945
Ptp4a2,4.2927198785555747e-07,0.19888801834034872,0.63,0.584,0.006213712024209194
Areg,4.3700303684161417e-7,0.6047033757309332,0.115,0.078,0.006325618958282365
Trav13-2,4.38272524463039e-7,-2.132715368874306,0.009,0.025,0.00634399479160249
Hba-a1,4.407048578981356e-7,3.775191260307695,0.015,0.003,0.006379202818075513
